dataset,split_mode,model,n_folds,mae_norm_mean,mae_norm_std,rmse_norm_mean,rmse_norm_std,psnr_norm_mean,psnr_norm_std,ssim_norm_mean,ssim_norm_std,mae_kpa_mean,mae_kpa_std,rmse_kpa_mean,rmse_kpa_std,spearman_pixel_mean,spearman_pixel_std,n_eval_samples_mean,n_eval_samples_std,train_count_mean,train_count_std,val_count_mean,val_count_std,test_count_mean,test_count_std,crps_norm_mean,crps_norm_std,cov50_mean,cov50_std,width50_norm_mean,width50_norm_std,cov80_mean,cov80_std,width80_norm_mean,width80_norm_std,cov90_mean,cov90_std,width90_norm_mean,width90_norm_std,cov95_mean,cov95_std,width95_norm_mean,width95_norm_std,uncertainty_error_spearman_mean,uncertainty_error_spearman_std,failure_auroc_top10_abs_error_mean,failure_auroc_top10_abs_error_std,uce_mean,uce_std,ence_mean,ence_std,ause_abs_error_mean,ause_abs_error_std,pit_mean_mean,pit_mean_std,posterior_std_norm_mean_mean,posterior_std_norm_mean_std,calibration_target_coverage_mean,calibration_target_coverage_std,calibration_scale_90_mean,calibration_scale_90_std,residual_scale_mean,residual_scale_std
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,unet_canonical_bxyz,5,0.07700415253639216,0.00649978590360509,0.1586254616918732,0.010724833600686566,16.011410355466197,0.5652603983014192,0.3949763383393964,0.04605558812985671,3.027979612350464,0.26098890380927897,9.821489278859747,1.2773332804536044,0.5274254383923416,0.037522020451056556,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.07700415104627603,0.006499786793341107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.1567868705233514,0.010219550997919774,,,0.060857512007278826,0.006373285484831553,0.10827877372503276,0.007654737927354799,0.0,0.0,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,prior_init_diffusion_unet_calibrated90,5,0.07936892956495283,0.006339715531242006,0.15899689120684868,0.010689747613648938,15.9908984844248,0.5624044337145924,0.22993073737463696,0.03532880647688611,3.045231294631958,0.26166434420189416,9.854268874776832,1.2882962664948985,0.5186130063715013,0.034816354319420394,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06640765368938442,0.004989311982882085,0.8157756567001343,0.008350824230277578,0.15109788775444027,0.007358335160822423,0.879817259311676,0.009959589001349174,0.28216946721076963,0.013851749801002256,0.9062637329101563,0.009906935398491547,0.35521782636642457,0.017492963117443857,0.9221642136573791,0.00953859062303909,0.409028536081314,0.02022759649741406,0.6343558548881728,0.041482513353309935,0.8359141548317612,0.023551054035800125,0.029195749115971982,0.005527680983551988,0.22898661414396138,0.04437930021706617,0.014620240195939483,0.0024969514498188452,0.42595657110214236,0.014886581139141751,0.11460633575916286,0.005633735646337838,0.9,0.0,12.582669067382813,0.806795457211583,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,prior_init_diffusion_unet,5,0.07936892956495283,0.006339715531242006,0.1589968923976243,0.010689747326915702,15.990898418303098,0.5624044192420423,0.2299307284428953,0.03532880784085222,3.045231294631958,0.2616642790594883,9.85426882636288,1.2882960446085299,0.5186130107523725,0.034816351179060366,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.0743084460496902,0.0063039720558463,0.00542332576587794,0.0024537292916527002,0.01203017663210626,0.0004990459206605316,0.01363243684172628,0.007929449863970324,0.02246489524841302,0.0009184311425020071,0.0293035654351115,0.02126123497580032,0.028279761970043123,0.0011412112678911433,0.057403036206960634,0.04298430667129857,0.03256294280290599,0.0013035501579960077,0.6343558646672103,0.041482498673077906,0.8359141541213241,0.02355105444637591,0.1269200314165827,0.01215960190986948,13.348130473205435,1.470016357151342,0.01462023974655616,0.0024969510792350012,0.11754180639982222,0.011097525236046858,0.00912403408437962,0.000366148190497412,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,residual_likelihood_guided_diffusion_calibrated90,5,0.07938272207975382,0.006337452596936659,0.15901074082195227,0.01068449005300572,15.99011792019385,0.562023992163183,0.22975769154906556,0.03514893736279784,3.0453371524810793,0.26193686022274926,9.854042906333898,1.2891053342253234,0.5188700368101388,0.034742536041430884,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06642433777451509,0.004994938853012553,0.8161805987358093,0.008532092914013906,0.1512236356735229,0.007375590576202992,0.8799561738967896,0.009730647553505637,0.28244357109069823,0.013988877607300708,0.9064699053764343,0.009660732568685949,0.35556037425994874,0.01777062749547173,0.9224027156829834,0.009315379386274764,0.4094479143619537,0.020750262148665485,0.6358238855722265,0.04063192046010105,0.8365290873094843,0.02376259817389874,0.028735230410741042,0.005386956020656604,0.22308077488942796,0.04125586383736141,0.01448871834594386,0.0026152155504878876,0.4259916603565216,0.014704284122169807,0.11471679657697673,0.0057401646987294,0.9,0.0,12.588443756103516,0.8168279262574235,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,residual_likelihood_guided_diffusion,5,0.0793827205896377,0.006337453467296647,0.15901074537256474,0.010684492061691626,15.990117676901676,0.5620240666322438,0.22975768828943655,0.03514899378836826,3.0453371524810793,0.26193686022274926,9.854042843965399,1.2891052191396353,0.5188700401685634,0.03474253543549919,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.07431986927986141,0.006304700705359102,0.00547708366066216,0.002440299550136654,0.0120348488911986,0.0004914470307023442,0.01358536947518586,0.007849478831823332,0.022476607933640442,0.0009101375409496479,0.02911177407950158,0.02075349971907669,0.02829414233565326,0.0011360139118744112,0.0574196448549628,0.042599772417149254,0.03258098885416978,0.0013040831794590246,0.6358238780062572,0.04063192894542779,0.8365290878556575,0.02376259764579204,0.12704064736771342,0.012284005578861994,13.337453469923213,1.49254927934215,0.01448871856274668,0.0026152157434461143,0.11750455647706981,0.011051236976634213,0.00912862364202732,0.0003648799146573844,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_target_diffusion,5,0.09107514321804042,0.013235188190404958,0.16225023033210437,0.00918768269995845,15.80978758121193,0.48038962764522275,0.21214899012926391,0.07007704271794138,3.202481508255005,0.15649629090445152,9.884321078271386,1.3239145051891172,0.5220615641803569,0.030682898664815023,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06354101523756978,0.008438123863908756,0.5244753956794739,0.21984292750227877,0.0473400011658668,0.011222464440267118,0.6808650732040405,0.15336845235906102,0.11963921785354611,0.029338592837268355,0.7754895091056824,0.07738292553615689,0.18266742974519726,0.04338321795404947,0.8309248685836792,0.03821027337956035,0.2368161290884018,0.05368705139679774,0.7685897392241113,0.05220736508313879,0.787574362392105,0.024335246591903264,0.0804181923523774,0.016054264549410335,1.7651944311127643,0.6269544434816627,0.0189443947188837,0.0028369375021355743,0.3908248424530029,0.1231857311801561,0.06867069676518436,0.014581029794639934,,,,,0.7288694024085999,0.006587606890813283
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_target_diffusion_calibrated90,5,0.09107514321804042,0.013235188190404958,0.16225023274733025,0.009187680594756626,15.80978744518536,0.4803895065136606,0.2121490037561251,0.07007705331242502,3.2024816036224366,0.15649625169627596,9.884320938860487,1.3239143934773514,0.5220615651109582,0.030682898244140454,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06234368532896038,0.006088783025638646,0.6545350909233093,0.0840979831114577,0.09033726751804347,0.021967700179717185,0.8609109163284302,0.005026453416312201,0.2263605952262878,0.051734632484945864,0.9119160532951355,0.009741849457034954,0.34480326175689696,0.07299071181651079,0.9381911039352417,0.008969126938474264,0.44694764018058775,0.08856563649786948,0.7685897408148439,0.05220736497869758,0.7875743618811331,0.024335246783549053,0.03004796678491204,0.0059178654030953345,0.48949586669500594,0.1765179291608653,0.018944398985392318,0.0028369389068678957,0.5057401478290557,0.09400891652726669,0.129510685801506,0.0230849814492324,0.9,0.0,1.9188729286193849,0.24568418241704781,0.7288694024085999,0.006587606890813283
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_likelihood_guided_diffusion,5,0.09085332006216046,0.012630151004304976,0.16248004253724804,0.008967049631017986,15.796754197106958,0.4664550756026834,0.21295937522708502,0.0703286461983519,3.197647523880005,0.1503090810999334,9.892129958831045,1.3054500895059205,0.5205670528993525,0.03239847516364241,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06352004855871195,0.007971022415227359,0.5278292179107666,0.21611946143122096,0.047055698931217145,0.011362612061703775,0.6918227553367615,0.13624514508073352,0.11880292296409603,0.02823588008036745,0.7836692810058594,0.0648495258278141,0.18095957487821573,0.04134585315103555,0.8340090870857239,0.0346029457308659,0.23500727117061615,0.051024163075682485,0.7615666002400868,0.051585964494598305,0.7729977556638612,0.017586739923224255,0.08234858522532833,0.01604077663252554,1.873157865755782,0.7837320470796856,0.02009387081487404,0.0018533739885230518,0.393759685754776,0.12357325721975666,0.06845910996198648,0.013950854157439647,,,,,0.7288694024085999,0.006587606890813283
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_likelihood_guided_diffusion_calibrated90,5,0.09085332155227656,0.012630149515295808,0.1624800438142231,0.008967047264749069,15.796754121475663,0.4664549367782258,0.21295937043883334,0.07032867148654212,3.1976475715637207,0.1503090376055473,9.892130042217014,1.3054500420698947,0.5205670526501531,0.03239847592735065,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.062493737787008244,0.005707870177490243,0.6549099206924438,0.08854715174642827,0.08974475860595701,0.023013717800501654,0.859611976146698,0.0055223790062158525,0.22428369522094727,0.05115274704137298,0.9096460223197937,0.009040725406615062,0.3407591164112091,0.07111149642367784,0.935720705986023,0.00923418454746271,0.4424321115016937,0.08573589549961098,0.761566602129329,0.05158596305739746,0.7729977564561051,0.017586739836102858,0.031775999805594965,0.008620052143412344,0.5314159736689417,0.22254801415377823,0.02009387081632726,0.001853373969619052,0.5072456002235413,0.09337266947712258,0.1287529230117797,0.022277921958803553,0.9,0.0,1.9162412643432618,0.2719396496682788,0.7288694024085999,0.006587606890813283
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,srcnn_bz_single_channel,5,0.11845233142375941,0.006099874213859421,0.20428307870409707,0.007441910534343346,13.801249220905348,0.32191117854315077,0.15601122204859091,0.030072734882294772,3.8922829627990723,0.2529976147926823,11.855484721677879,1.044048490674058,0.3474246751203756,0.036794475204350835,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.11845233142375941,0.006099878029775272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.2021601407759551,0.007747569343552973,,,0.08520879594590039,0.005006942949655342,0.13822485208511345,0.007558355591063845,0.0,0.0,,,,,,
