dataset,split_mode,model,n_folds,mae_norm_mean,mae_norm_std,rmse_norm_mean,rmse_norm_std,psnr_norm_mean,psnr_norm_std,ssim_norm_mean,ssim_norm_std,mae_kpa_mean,mae_kpa_std,rmse_kpa_mean,rmse_kpa_std,spearman_pixel_mean,spearman_pixel_std,n_eval_samples_mean,n_eval_samples_std,train_count_mean,train_count_std,val_count_mean,val_count_std,test_count_mean,test_count_std,crps_norm_mean,crps_norm_std,cov50_mean,cov50_std,width50_norm_mean,width50_norm_std,cov80_mean,cov80_std,width80_norm_mean,width80_norm_std,cov90_mean,cov90_std,width90_norm_mean,width90_norm_std,cov95_mean,cov95_std,width95_norm_mean,width95_norm_std,uncertainty_error_spearman_mean,uncertainty_error_spearman_std,failure_auroc_top10_abs_error_mean,failure_auroc_top10_abs_error_std,uce_mean,uce_std,ence_mean,ence_std,ause_abs_error_mean,ause_abs_error_std,pit_mean_mean,pit_mean_std,posterior_std_norm_mean_mean,posterior_std_norm_mean_std,calibration_target_coverage_mean,calibration_target_coverage_std,calibration_scale_90_mean,calibration_scale_90_std,residual_scale_mean,residual_scale_std
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,unet_canonical_bxyz,5,0.07817570269107812,0.0043306103948953355,0.1598487751561925,0.009110404932118439,15.939319139539686,0.4791000493478039,0.35894001636725775,0.050231927292412146,3.054143524169922,0.25682151548625104,10.006725593870964,1.140876906388374,0.5222254499214471,0.03547996117987147,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.07817570716142648,0.004330612021263003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.1576509284195117,0.008407996744977756,,,0.06016509913202722,0.0040343260772246385,0.1122206464409828,0.006801852775674256,0.0,0.0,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,residual_likelihood_guided_diffusion,5,0.08012694716453547,0.004525373568306307,0.1602194230860618,0.009300725003944561,15.919671359554204,0.4870322974900994,0.22163728600582822,0.027353760056025772,3.0674816608428954,0.25818881689550405,10.044659017770096,1.1365141931201264,0.5111531244843686,0.036409018861916456,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.07510829269886012,0.004259542075266622,0.00680489176884292,0.0038366213621623757,0.011946362443268261,0.0009624843431445725,0.01727224495261902,0.012639521925125324,0.02228269614279266,0.001788327229075559,0.03308305013924836,0.02717872595142071,0.0280321959406137,0.0022418741495954684,0.05528130158782002,0.04361342146412258,0.032286324724554984,0.0025802327084437754,0.6426472998663606,0.06179093839675724,0.8351905533752708,0.026373310211315094,0.12886421688598185,0.011674910771052937,13.820178155301965,1.9834348321636053,0.01499186502383012,0.003554856268516327,0.12142963707447048,0.012403147174806305,0.00905443206429476,0.0007236000637910306,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,residual_likelihood_guided_diffusion_calibrated90,5,0.08012694865465159,0.004525372010232604,0.16021942636542033,0.009300728592546015,15.91967119174215,0.48703246910481074,0.22163730059714554,0.027353729137514247,3.0674817085266115,0.2581887554682958,10.044659017770096,1.1365141931201264,0.5111531279392899,0.03640901838029656,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06669305786490434,0.004731693109523473,0.8132973909378052,0.01252586997899748,0.1496134459972381,0.005806286910089229,0.8793060898780822,0.00917202167009267,0.2790733754634857,0.010887062196981259,0.905714237689972,0.009222938335162566,0.35109822154045106,0.013850137586475166,0.9216145992279052,0.009488604664567257,0.4043845057487488,0.01586008232677474,0.6426472915824826,0.061790932917520136,0.835190552389976,0.026373310988755633,0.02819839521506326,0.00737852609944844,0.2145113492262717,0.058500921262635716,0.014991864975665358,0.0035548563327405746,0.4271035611629486,0.012909644722704854,0.11340360790491102,0.00440691940270036,0.9,0.0,12.599769020080567,1.05186365134913,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,prior_init_diffusion_unet,5,0.08013769388198848,0.004515074877156931,0.1602327840967181,0.009292826262567245,15.918920849243472,0.48657388069027424,0.22147421574829,0.027239455151533882,3.0674860954284666,0.25767456438964065,10.044820215815019,1.135509280711877,0.5115001022658864,0.036526346633512126,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.07511257380247113,0.004253747690143765,0.00692866398021576,0.003994324335865351,0.0119607219472527,0.0009584409613438214,0.017297304607927777,0.013069969236863262,0.02230702862143512,0.001781243993665419,0.033096900396049,0.027477939498242256,0.028068252652883457,0.0022343453318795802,0.05518476031720634,0.043939979686746206,0.0323272686451673,0.0025707649498472847,0.6418152913459394,0.06203661848496641,0.8346983943360181,0.026940532602088674,0.12878563013219133,0.011556531266327935,13.803840605312212,1.9963094263169154,0.015018345007702499,0.0036131758921831916,0.12140037119388576,0.012539816407068126,0.00906579755246636,0.0007206235885780527,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,prior_init_diffusion_unet_calibrated90,5,0.08013769388198848,0.004515074877156931,0.16023278623687523,0.009292829448431862,15.918920741813896,0.4865740249764416,0.22147421541158105,0.02723948231744976,3.0674861907958983,0.2576745372746242,10.044820215815019,1.135509280711877,0.5115000961121349,0.03652634625286899,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06669670566916465,0.004711611963477743,0.8135414123535156,0.012594780020649529,0.14982637465000145,0.005218128024538787,0.8794038653373718,0.00941110201462007,0.2794429540634155,0.009940564987105858,0.9059166550636292,0.00956448039731202,0.3516270160675049,0.012579554022944132,0.9215347290039062,0.009540923583270963,0.4049863636493683,0.01438912234498479,0.6418152937690998,0.062036621496689856,0.8346983951087253,0.026940532611060476,0.02846835150797388,0.007573939596612096,0.21931725681051573,0.059618492488194716,0.01501834503003584,0.003613175887376253,0.42709189653396606,0.013222584627674663,0.11357181519269939,0.004002390991494029,0.9,0.0,12.605126190185548,1.0667016776198266,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_likelihood_guided_diffusion,5,0.08167306780815123,0.006846302417980744,0.16116808355461903,0.009509554424968317,15.868998853817937,0.4987124455504901,0.2999094715449385,0.06521989424341994,3.087112045288086,0.27066510291941376,10.12933534793385,1.1208930477648171,0.5163418251578411,0.03205908474321957,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.0574441902339458,0.0032931859579599563,0.7052527785301208,0.047774233822988676,0.033910702913999495,0.010357650970649732,0.7844024062156677,0.028435844431603862,0.10133953690528863,0.024163493999098083,0.8322248578071594,0.019638542772959833,0.1650560826063156,0.03285617303069776,0.8627944350242615,0.014265617876514107,0.2224087536334991,0.037966497618571515,0.7962951875468216,0.02989130423571184,0.7728100507932527,0.010199262126543781,0.0826871110106638,0.012524257487575947,2.379091289277018,1.0880563135952885,0.019710592386257043,0.0009001348686051881,0.5490174889564514,0.08449819079150742,0.06633170694112775,0.010778486383476326,,,,,0.7346568465232849,0.014423639104754417
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_likelihood_guided_diffusion_calibrated90,5,0.08167306780815123,0.006846302417980744,0.16116808355461903,0.009509554424968317,15.868998853817937,0.4987124455504901,0.29990945887357856,0.06521990870862526,3.0871121406555178,0.2706651117833755,10.129335589889957,1.1208929032048955,0.51634182539148,0.03205908497467855,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.05921517089009283,0.0027194051949893925,0.47646836638450624,0.1349546888940376,0.059249012917280144,0.014289079949834704,0.8336784958839416,0.03136388703754181,0.17901411652564997,0.033918870123277135,0.9060173630714417,0.009557733134938576,0.2929035186767578,0.048535621141824276,0.9336040258407593,0.009557548535540994,0.39595106244087214,0.06095229658466291,0.7962951865253572,0.029891305547696173,0.7728100509323612,0.010199261728484392,0.0357725913703872,0.01985172243306164,0.8713155757233295,0.42010940015433607,0.01971059240135954,0.0009001348771044783,0.6294652581214905,0.05832178466898228,0.11798437684774396,0.016704008627274974,0.9,0.0,1.8188594818115233,0.3679400376123076,0.7346568465232849,0.014423639104754417
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_target_diffusion_calibrated90,5,0.08215238749980922,0.006651918188051173,0.16142140963048152,0.009435691763909602,15.855048663053775,0.493080225214687,0.293876782254889,0.06137792692937626,3.093766689300537,0.26452664501991713,10.123905803400898,1.115181589568828,0.515764225986507,0.03434060387449647,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.05935258939862246,0.002599327019115126,0.4886616051197052,0.12997191184056517,0.060360993444919554,0.015131257928831406,0.8377403855323792,0.025870397670360756,0.18236837685108181,0.0359026304187352,0.9077917814254761,0.011470994735996777,0.29839695394039156,0.051931387180388665,0.9353253841400146,0.011569134892335887,0.40243738889694214,0.06510632583175475,0.7988901930538811,0.02541002348482597,0.7737260455321644,0.014716589959978604,0.03815055764304034,0.01995472957002898,0.9761238111065641,0.4547916695627282,0.01999202793462632,0.0009993944314084977,0.6265530943870544,0.055715822854535225,0.11987971663475035,0.01788230479598312,0.9,0.0,1.8220016479492187,0.37152454455628897,0.7346568465232849,0.014423639104754417
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_target_diffusion,5,0.0821523860096931,0.006651919005362236,0.16142141077687727,0.0094356918923262,15.8550486017689,0.4930802340342892,0.2938767853766106,0.06137791109359538,3.0937666416168215,0.2645265921613901,10.123905763469155,1.1151812679402342,0.5157642265388123,0.03434060440673099,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.057589808106422356,0.0032170768064013005,0.7020480275154114,0.04800452104947448,0.03442517407238478,0.010517132687177206,0.7843072772026062,0.02733803172309807,0.10282191187143322,0.02399258330975159,0.8330273509025574,0.01775262560730695,0.16739573478698727,0.032052006009769714,0.864256227016449,0.01294625980021613,0.22516375184059143,0.036868702990525304,0.7988901916310172,0.02541002624542091,0.7737260455095859,0.014716589869368312,0.08263663477245388,0.013339071882007735,2.482076292790114,0.9482928444380818,0.019992027941557237,0.0009993944490456219,0.5423805952072144,0.08255887708426596,0.06716800108551972,0.010553264002342182,,,,,0.7346568465232849,0.014423639104754417
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,srcnn_bz_single_channel,5,0.11845634281635282,0.006325769257402279,0.20393982585431686,0.008117919873880705,13.816947905032645,0.3498106546879938,0.1473820887640333,0.027275054895926736,3.8913581371307373,0.29866862965324875,11.841797183151494,1.057987976102772,0.349229235254004,0.035720506269162546,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.11845634281635282,0.0063257717747005416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.2018095182236344,0.008385987932824088,,,0.0852432581138637,0.005226018835931002,0.13772606551647182,0.0056438278244233305,0.0,0.0,,,,,,
