figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,mae_zbottom_mm,rmse_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm,auroc_fail_tau_1mm
Figure 3,3D,MMP,soft MMP,eapp_only_diffusion,Eapp-only diffusion,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.6189226828156191,0.8094298382454629,0.39437124275753876,0.9285213243546577,1.9413932768971276,0.4990942028985508
Figure 3,3D,PIEZO,sheet piezo,eapp_only_diffusion,Eapp-only diffusion,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.8379786741144394,1.3601756578558386,0.6191886591612954,0.8673652172127782,2.3914379873550202,0.9413277046439732
Figure 3,3D,US,ultrasound,eapp_only_diffusion,Eapp-only diffusion,50,50,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.9845200827002033,1.0421469715501248,0.6315258685448399,0.9133066778900112,3.6430234807533157,0.7431768527732977
Figure 3,3D,MMP,soft MMP,op_conditioned_diffusion_ours,operator-conditioned diffusion,50,150,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.2520373189720523,0.37480020109908097,0.1578691959529227,0.9241108579015085,0.9279217435400717,1.0
Figure 3,3D,PIEZO,sheet piezo,op_conditioned_diffusion_ours,operator-conditioned diffusion,50,150,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.6795732221662067,0.911390616665373,0.38170324999585814,0.9058306643672496,2.141799684829085,0.8123646967720154
Figure 3,3D,US,ultrasound,op_conditioned_diffusion_ours,operator-conditioned diffusion,50,150,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.40000098423310465,0.4432556425114129,0.2204683110501051,0.8721661054994387,0.960004508493489,0.9945945945945946
Figure 3,3D,MMP,soft MMP,SRCNN_3D_proxy,SRCNN 3D proxy,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.631590324581143,0.6920290118235606,0.6038186487388597,0.05487291615340384,0.23104101876494185,0.8800557753234978
Figure 3,3D,PIEZO,sheet piezo,SRCNN_3D_proxy,SRCNN 3D proxy,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.0627681042650639,1.3633317867952177,1.0591427410671455,0.5960858585858586,4.007350290765831,0.8212105102929353
Figure 3,3D,US,ultrasound,SRCNN_3D_proxy,SRCNN 3D proxy,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.2305684775047872,1.168304473880148,1.0569983741522357,0.016774965098135808,0.4061366131442588,0.7986167935187544
Figure 3,3D,MMP,soft MMP,direct_scalar_regression,direct scalar regression,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.3669460111494875,1.6698001388461101,0.9584321699206972,0.8028198653198653,4.259095012109434,0.45522714720908386
Figure 3,3D,PIEZO,sheet piezo,direct_scalar_regression,direct scalar regression,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.1370528469632888,1.3357198317254024,0.8148539588826242,0.7157337261503928,4.497907985731367,0.34370787886610876
Figure 3,3D,US,ultrasound,direct_scalar_regression,direct scalar regression,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,2.345521745371792,2.366404922680096,1.4754103975686381,0.7275182379349048,5.621900135373861,0.4798810075735781
Figure 3,3D,MMP,soft MMP,unet_3d,3D U-Net,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.7718467069330653,0.7914073403093763,0.7046762421107929,0.03877443130491898,0.2504328211393911,0.8800557753234978
Figure 3,3D,PIEZO,sheet piezo,unet_3d,3D U-Net,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.065004584092053,1.37785615091242,1.0751880813200307,0.5695707070707071,3.6113216122407508,0.8212105102929353
Figure 3,3D,US,ultrasound,unet_3d,3D U-Net,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.337568607677227,1.4650477591143491,1.2495133928574071,0.012987086310256912,0.43947285262481184,0.7986167935187544
Figure 3,3D,MMP,soft MMP,kernel_gp,kernel GP,100,100,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.6541242183419067,0.67225901608152,0.403316269373503,0.8925089307711258,1.5300782703957214,0.9356028159306848
