r_mm,MMP,PIEZO,US
0.0,1.0,1.0,1.0
0.03773584905660377,0.9990898047119703,0.9974716562294719,0.9997421800400078
0.07547169811320754,0.9963630555176773,0.9899249154421086,0.9989691189182761
0.11320754716981132,0.9918347874000112,0.9774736843516741,0.9976820118818138
0.1509433962264151,0.9855298675959497,0.9603046252655786,0.9958828475869272
0.18867924528301885,0.9774827940450835,0.938672500158299,0.9935744029791154
0.22641509433962265,0.9677374152726995,0.912893881722384,0.990760236150782
0.2641509433962264,0.9563465773475498,0.8833394483449163,0.9874446772024763
0.3018867924528302,0.9433717048537935,0.8504251249922425,0.9836328171405184
0.33962264150943394,0.9288823240336594,0.8146023655925028,0.9793304948508552
0.3773584905660377,0.9129555373543896,0.7763478934684118,0.974544282195799
0.4150943396226415,0.8956754596857859,0.7361532241353509,0.9692814672868932
0.4528301886792453,0.877132626992176,0.6945142894552676,0.9635500359934951
0.49056603773584906,0.8574233888869075,0.6519214644786406,0.9573586517527419
0.5283018867924528,0.8366492965047253,0.6088502696425846,0.9507166337523407
0.5660377358490566,0.8149164968496213,0.5657529831280572,0.9436339335630689
0.6037735849056604,0.7923351440042399,0.523051353274718,0.9361211103029792
0.6415094339622641,0.76901883627696,0.4811305513914122,0.9281893044200303
0.6792452830188679,0.7450840864601745,0.440334453547513,0.9198502101842078
0.7169811320754716,0.7206498298424872,0.4009622883937012,0.9111160469841374
0.7547169811320754,0.6958369714511453,0.3632666389682068,0.9019995295267061
0.7924528301886792,0.6707679702301537,0.32745274173860944,0.8925138370412887
0.830188679245283,0.6455664535643112,0.2936789873862397,0.8826725815928104
0.8679245283018867,0.6203568508786279,0.26205849621675226,0.872489775610063
0.9056603773584906,0.5952640301806738,0.23266161728907325,0.8619797987374159
0.9433962264150944,0.5704129166441584,0.20551918466716604,0.8511573641193232
0.9811320754716981,0.5459280679963688,0.18062635647332584,0.8400374842278343
1.0188679245283019,0.521933177969434,0.15794686215232415,0.8286354363436522
1.0566037735849056,0.49855047684669807,0.13741748973744913,0.816966727801166
1.0943396226415094,0.47589999763790297,0.11895265691230893,0.8050470611073177
1.1320754716981132,0.4540986780896408,0.10244892611046467,0.7928922990431532
1.169811320754717,0.4332592729608534,0.08778934354533405,0.7805184298554606
1.2075471698113207,0.4134890580416798,0.07484750367718945,0.7679415326440434
1.2452830188679245,0.3948883173887913,0.06349126303257174,0.7551777430479039
1.2830188679245282,0.3775486181135268,0.05358604944362015,0.7422432193309584
1.320754716981132,0.361550892475967,0.044997733777364955,0.7291541089648848
1.3584905660377358,0.3469633644328868,0.03759505036544069,0.7159265158033187
1.3962264150943395,0.3338393763179317,0.03125156910148392,0.7025764679379195
1.4339622641509433,0.32221518990679515,0.025847236214364393,0.6891198863228077
1.471698113207547,0.3121078534413088,0.021269511895097633,0.6755725542495882
1.5094339622641508,0.3035132408214011,0.017414141255584742,0.6619500877506153
1.5471698113207546,0.29640437964965777,0.014185600661561324,0.6482679070033772
1.5849056603773584,0.2907301897312513,0.011497264546657648,0.6345412088038823
1.6226415094339621,0.28641475179555165,0.009271338689213569,0.6207849401717639
1.660377358490566,0.28335721674871445,0.007438604973590789,0.6070137731444967
1.6981132075471697,0.2814324482718207,0.005938020237679941,0.5932420808126737
1.7358490566037734,0.28049246617347856,0.004716208299718329,0.5794839146427512
1.7735849056603772,0.28036872531920765,0.003726880011159852,0.5657529831280572
1.8113207547169812,0.2808752265389466,0.0029302115145943834,0.5520626318032064
1.849056603773585,0.281812413582513,0.0022922060696965387,0.5384258246513961
1.8867924528301887,0.2829717663576561,0.0017840600707705974,0.5248551269284023
1.9245283018867925,0.2841409580904806,0.001381549391993862,0.5113626894214742
