dataset,split_mode,model,n_folds,seed_mean,seed_std,mae_norm_mean,mae_norm_std,rmse_norm_mean,rmse_norm_std,psnr_norm_mean,psnr_norm_std,ssim_norm_mean,ssim_norm_std,mae_kpa_mean,mae_kpa_std,rmse_kpa_mean,rmse_kpa_std,spearman_pixel_mean,spearman_pixel_std,n_eval_samples_mean,n_eval_samples_std,train_count_mean,train_count_std,val_count_mean,val_count_std,test_count_mean,test_count_std,crps_norm_mean,crps_norm_std,cov50_mean,cov50_std,width50_norm_mean,width50_norm_std,cov80_mean,cov80_std,width80_norm_mean,width80_norm_std,cov90_mean,cov90_std,width90_norm_mean,width90_norm_std,cov95_mean,cov95_std,width95_norm_mean,width95_norm_std,uncertainty_error_spearman_mean,uncertainty_error_spearman_std,failure_auroc_top10_abs_error_mean,failure_auroc_top10_abs_error_std,uce_mean,uce_std,ence_mean,ence_std,ause_abs_error_mean,ause_abs_error_std,pit_mean_mean,pit_mean_std,posterior_std_norm_mean_mean,posterior_std_norm_mean_std,calibration_target_coverage_mean,calibration_target_coverage_std,calibration_scale_90_mean,calibration_scale_90_std,residual_scale_mean,residual_scale_std
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,unet_canonical_bxyz,25,3.0,1.4142135623730951,0.07641800373792643,0.005611635789094351,0.15880558545511525,0.010815556705647976,16.00184498085816,0.5697503910065426,0.3915117798294299,0.041236709473931335,3.016965570449829,0.26944980028291116,9.875645446263496,1.2185378819486492,0.5261204280542128,0.037504644355826,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.07641800493001932,0.005611635433973351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.15671186677895707,0.010129613066662891,,,0.059889554650462466,0.0054742734101506235,0.11014727085828778,0.006820216013390103,0.0,0.0,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,prior_init_diffusion_unet,25,3.0,1.4142135623730951,0.07875142276287075,0.005605655136587752,0.15928412932467031,0.010803271593722958,15.975562997220461,0.5676367301020429,0.23592608482576904,0.031340411891429804,3.034515953063965,0.2704639989382945,9.906092829102784,1.2199984472514969,0.5167075083174385,0.03588481096046784,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.07380730062723156,0.005567985478722354,0.009035867527127235,0.011631850127418344,0.011760751269757697,0.0006360803080334218,0.021098761968314617,0.025004258128898706,0.02194716170430178,0.001161064885675896,0.03934877831488845,0.0417489540100961,0.027620940729975646,0.0014314868476586128,0.06573624841868875,0.06049899352045724,0.031811390891671135,0.0016184975267032305,0.6311709965886608,0.04453468973589019,0.8374295176121244,0.023851478203269334,0.12717291129323896,0.012655195921594592,13.781020980131172,2.0227798727635102,0.014495109512346156,0.0028853784584400013,0.12139706999063488,0.012114991769283642,0.008921300396323151,0.00045933769119350606,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,prior_init_diffusion_unet_calibrated90,25,3.0,1.4142135623730951,0.0787514233589172,0.005605654891656149,0.15928412944550777,0.010803273260385897,15.975562996202411,0.5676368112017465,0.23592607839247925,0.031340429610069595,3.0345160007476806,0.2704640506472388,9.906092808466815,1.2199984897383827,0.5167075061077637,0.03588481120525354,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06607518583536144,0.004734797619278605,0.8170431303977966,0.01067706799575936,0.1492452841997146,0.009209229822909119,0.8806093335151672,0.01070175377154465,0.2785422086715698,0.0173975476524917,0.9064586234092712,0.010877759700123125,0.35057942986488344,0.022023014383309503,0.9218518161773681,0.010522593381803863,0.40378774762153624,0.02535824973268501,0.6311709926662938,0.044534695971852736,0.8374295176596657,0.02385147841005779,0.03130292421959348,0.009356379385084409,0.25983474956776553,0.10471028991287137,0.014495109764703355,0.0028853785597902095,0.42982750415802,0.011311465029900221,0.11322870820760723,0.006996968021908767,0.9,0.0,12.714023208618164,0.8555870737176904,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,residual_likelihood_guided_diffusion_calibrated90,25,3.0,1.4142135623730951,0.0787585777044296,0.005599651123378823,0.1592860102208517,0.010797403441772888,15.97544018132177,0.567340563038979,0.23579507642318132,0.031135459855317096,3.0345098114013673,0.27061427064810417,9.905498565752566,1.2208572356946978,0.5166261507443058,0.035926807885145684,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06608071714639659,0.004733637852094623,0.8171547079086303,0.010650820371279528,0.1492676872014999,0.009136494375286984,0.8805978274345398,0.010560365985217684,0.2785941457748413,0.017329162323286934,0.9064789199829102,0.01079007365201591,0.3506017732620239,0.02196611902163039,0.9220391726493835,0.010525493524778348,0.40382238388061525,0.025359725908690994,0.6316890465314112,0.044890194068699166,0.8376900817351088,0.023810603102928075,0.031145707934492325,0.009316352033128757,0.2573023097138273,0.10514631934097217,0.014449613658551862,0.002904195159978218,0.42982136845588687,0.01117141031369181,0.11324565201997754,0.00698577371663583,0.9,0.0,12.714645767211914,0.8462773871531137,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,residual_likelihood_guided_diffusion,25,3.0,1.4142135623730951,0.07875857740640636,0.005599651840343953,0.1592860102274216,0.010797403344852765,15.975440180506213,0.5673405553160591,0.23579509610346017,0.031135464813206157,3.0345098304748537,0.2706142966908853,9.905498508745115,1.220857198291186,0.5166261506147252,0.03592680781308635,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.07381412595510478,0.0055611211834288654,0.009022463317960463,0.011600770766746822,0.011761407405137973,0.0006312370521748237,0.021064359322190244,0.024871169324757404,0.021949134021997406,0.0011569274138524808,0.039228374883532494,0.04143685933672472,0.027620019465684847,0.001428208782381233,0.06555921126157042,0.060177621649680046,0.03181092061102385,0.0016184678635347166,0.6316890438376865,0.0448902004195754,0.8376900815179735,0.02381060263556705,0.12718668570742234,0.012685301895149489,13.770266383988291,2.0200505403912237,0.014449616708491866,0.0029041941170465263,0.12135368674993512,0.012046252159382055,0.008921742103993845,0.000458368104432716,,,,,,
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_likelihood_guided_diffusion,25,3.0,1.4142135623730951,0.08765743821859356,0.013074877085177758,0.1617802883571879,0.010723700565389146,15.839841582713683,0.5592073295925384,0.2376770191483844,0.08346794240671072,3.1530916786193846,0.3072290318409168,9.969486870569114,1.21288333862596,0.5176857785542566,0.03347542423379579,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06081836640834803,0.008526916714303475,0.5863022923469543,0.19544280730933045,0.04307046473026272,0.011375827199508906,0.7270022916793824,0.1368823265511415,0.11513201147317882,0.02782035322922022,0.8027881097793579,0.0829033565315941,0.17993402183055873,0.041175928983288146,0.8464063215255737,0.05127271186480874,0.23708572924137117,0.05041888583307579,0.77624332578451,0.04794328096227584,0.7718215170408034,0.022221284763108112,0.08033054835591275,0.013052758925872314,1.988157948856292,0.8967567838037815,0.019969057119301196,0.002478151966909289,0.44492979645729064,0.13072382945366431,0.06986044615507121,0.014200496245172091,,,,,0.7358962321281433,0.014103995412678661
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_likelihood_guided_diffusion_calibrated90,25,3.0,1.4142135623730951,0.08765743821859356,0.013074877704978248,0.1617802887662678,0.010723701341683238,15.839841563161606,0.5592073652268731,0.23767701845669825,0.08346794238331481,3.1530917072296143,0.3072290187708536,9.969486830271746,1.212883292438836,0.5176857787847094,0.03347542502217567,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06052726611495014,0.005961375229683589,0.6073759114742279,0.13302627930299718,0.07697217300534244,0.023633372872790968,0.8474632716178894,0.030821879965624757,0.20420210659503937,0.05238733430235418,0.906862735748291,0.011325591982627873,0.31878686010837554,0.07528701551967391,0.9342645645141602,0.008796422764716403,0.4201063823699951,0.09191056877100598,0.7762433259798365,0.047943279385085975,0.7718215174407176,0.022221284494948857,0.03470201800748837,0.011832086429038942,0.7134121661667107,0.4145950034614602,0.01996905772679751,0.0024781517554121604,0.5456521344184876,0.09587175803058448,0.12351240605115887,0.024055869598983697,0.9,0.0,1.7983948135375976,0.3017178773578544,0.7358962321281433,0.014103995412678661
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_target_diffusion,25,3.0,1.4142135623730951,0.08780292689800259,0.012948782472492796,0.16189206175442358,0.010778326071338495,15.83400363798079,0.5616631626429133,0.23718843663236697,0.08278515651541679,3.1568210124969482,0.3044764174512585,9.964334370785132,1.221404669038664,0.5171026358683527,0.03412753293296732,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06088132172822948,0.008461947729266051,0.5852266049385071,0.19576583490668087,0.04332949049770827,0.011508892140426096,0.7262421607971191,0.13799457187282832,0.11552635282278058,0.027920710380084278,0.8026800060272217,0.08121136351406794,0.18039758592844005,0.04068657116193145,0.8466392135620118,0.04854567596379972,0.2373751986026764,0.04990178609173211,0.780915876005645,0.04497502460204185,0.7761871440729701,0.025900917595575914,0.07965257025654977,0.013377732610970212,1.9925165000451326,0.8847611828907075,0.019591989849486124,0.002868042070061025,0.4430476629734039,0.1297298913275183,0.06987996086478228,0.014101279935614079,,,,,0.7358962321281433,0.014103995412678661
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,explicit_residual_target_diffusion_calibrated90,25,3.0,1.4142135623730951,0.08780292779207226,0.01294878224639039,0.16189206202563905,0.010778325453920799,15.834003621172393,0.5616631278680098,0.23718844089030214,0.08278515742564313,3.156821060180664,0.3044764079483562,9.964334377577837,1.2214047385513291,0.5171026358684607,0.0341275325522398,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.06058133795857426,0.005970696103292593,0.6085764968395233,0.13053723072509096,0.07778070375323293,0.023654090735966454,0.8490279221534729,0.029167435029647363,0.205874884724617,0.05216352285666064,0.9073652648925781,0.012243964722783827,0.3212316071987152,0.07423346336433781,0.9350170302391052,0.01043903992970373,0.4227706015110016,0.09109487017958809,0.7809158769215763,0.044975026228897666,0.7761871435276759,0.025900918061681228,0.03419859274468783,0.012476674258544701,0.7246338116275568,0.45656060422928585,0.019591990629110125,0.002868042213947598,0.54493124127388,0.09598463215684623,0.12417627513408658,0.023959789757279987,0.9,0.0,1.8075376224517823,0.3045628901462249,0.7358962321281433,0.014103995412678661
method2b_512_full_comsol_recalibrated_9model,fig3_true_ood,srcnn_bz_single_channel,25,3.0,1.4142135623730951,0.11736106455326077,0.005222383854643066,0.20400578570186279,0.007591918311099588,13.813280862690165,0.32791555360585367,0.15816463464333744,0.021441952556808835,3.876834468841553,0.2660634732680132,11.844879854655947,1.0555089975468899,0.34803334438957684,0.03732857801124586,48.8,14.4,230.0,0.0,38.0,0.0,48.8,14.4,0.11736106336116787,0.005222385111469878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.20187752515986668,0.007843230872964435,,,0.08528002071613519,0.005392011804968262,0.13804218053817746,0.006702485253044273,0.0,0.0,,,,,,
