operator,method,cov50_zbottom,cov80_zbottom,cov90_zbottom,cov95_zbottom,width50_zbottom_mm,width80_zbottom_mm,width90_zbottom_mm,width95_zbottom_mm,auroc_fail_tau_1mm,auprc_fail_tau_1mm,uce,ence,interval_iou_mean,error_vs_depth_ood_slope,error_vs_depth_ood_stderr,uncertainty_vs_depth_ood_slope,uncertainty_vs_depth_ood_stderr
MMP,direct_scalar_regression,0.3133191672825819,0.6141954778133639,0.7952441077441077,0.8558221099887767,1.8111276300506791,3.359731374730646,4.218688826461405,4.9081011628196345,0.4552271472090838,0.6842223246536476,0.4536987235846244,0.4459993368963229,0.3677767219577251,0.5839629490955824,0.022397663296369892,0.30926563920289557,0.011394892433010163
MMP,unet_3d,0.0303612000766472,0.0383903397114779,0.0472971585776463,0.0534699980838192,0.1306238751365826,0.1924844892246738,0.2288491244141506,0.2589687064008776,0.8800557753234978,0.2930464254323066,0.5543123293814441,11.158451751143325,0.6065182176178842,0.13469443047656804,0.006444645768396264,-0.0031580535386413577,0.004212757043610708
MMP,kernel_gp,0.0481283019900906,0.5466478812515397,0.904819536831732,0.9536510087323096,0.5499395839031732,0.9880948845091778,1.2388554337896405,1.4425612365018654,0.9356028159306848,0.0697099197099197,0.0879725548573836,0.2382990670497502,0.6881775755621488,0.07356277802240278,0.006117058618928739,0.05353123370280486,0.004598245736151545
MMP,vanilla_3d_diffusion,0.3314833634447455,0.8536729079412005,0.9138468013468014,0.9188271604938272,0.9280571382111288,1.5124125736768066,1.7997710805613265,2.0126354531750934,0.5816361082754525,0.0321689566632758,0.0659845067039843,0.1115475598584529,0.6502079291701294,0.06065097902353105,0.007338844755774249,0.028364221181231067,0.003976073494518462
MMP,eapp_only_diffusion,0.4482059757466262,0.8872088089567765,0.9228395061728396,0.925925925925926,0.9152424224711012,1.440351912071146,1.6971671374277717,1.89097538310638,0.4990942028985508,0.0118944276655149,0.0781386234466619,0.1290635509441356,0.6846529312943108,0.061383596177534125,0.0067130051938217765,0.023771062242028025,0.0038102850228265545
MMP,dps_inverse_diffusion,0.0263714379568038,0.5267801661602475,0.8717606279598149,0.9279916372396046,0.4497060920156679,0.8044363106135292,1.0057341526120362,1.1650973971640068,0.9238788238788238,0.11394638605737,0.0888306124127144,0.2689123193799867,0.731613315063908,0.06247567791622143,0.00669598028007564,0.045026312346558614,0.0035272303337498265
MMP,op_conditioned_diffusion_ours,0.5876680079932112,0.90915729106786,0.9364214639621145,0.9530443322109988,0.4039725147287953,0.7271676752854114,0.9002349406792978,1.0452962223518143,1.0,0.0,0.0811314497002927,0.3130421623141342,0.8510702734814407,0.049359523213835736,0.0060553547319346646,0.041376104089593614,0.003292842803610467
PIEZO,direct_scalar_regression,0.5554975568695081,0.7070707070707071,0.7583473625140291,0.7732884399551067,1.9943407068652987,3.484771974907653,4.265734917107474,4.8810972508756025,0.3437078788661087,0.581250666825885,0.7488026391487624,0.7779637209371776,0.435193330927919,0.30404051365971624,0.02176489145647901,0.37626267665614777,0.01693736992252746
PIEZO,unet_3d,0.5442550505050505,0.6090698653198653,0.638699494949495,0.6461069023569023,2.9954773354759343,3.527388772605384,3.800498835153701,4.006081955797886,0.8212105102929353,0.7854741141144896,0.8993795859660727,1.242066160934602,0.4885291242937934,0.44021157805087513,0.0248162310442037,0.17966804476992657,0.04344997929410632
PIEZO,kernel_gp,0.47871756179683,0.7159301346801348,0.9003717732884401,0.9389870931537598,1.2800145173973785,2.2239865826393244,2.695717480987581,3.0729819074741638,0.9588478085047406,0.8501037541576237,0.3861058360930146,0.437067181259688,0.660826638217518,0.2988829100061657,0.017183250017658375,0.1492822571980439,0.014159438019685628
PIEZO,vanilla_3d_diffusion,0.5930353672223591,0.8510614272809395,0.8939024390243903,0.9035230352303524,1.036944978433152,1.828453052003259,2.243579651948418,2.558873646592355,0.965120411995412,0.8727718852928578,0.3142836699413349,0.4099858678662659,0.6670576935000291,0.39851765740638145,0.02244905165727304,0.0944926021786336,0.008023703540852316
PIEZO,eapp_only_diffusion,0.5280087459965509,0.7779810298102982,0.8664182475158085,0.9035230352303524,1.027916444695872,1.816697439001176,2.213355016222798,2.5019126519448704,0.9413277046439732,0.8635067996947215,0.3396928842018143,0.4156305010596736,0.6307305451557185,0.4880671123672496,0.026313078361922124,0.09366982607618392,0.00772328118842225
PIEZO,dps_inverse_diffusion,0.5514817894391065,0.7516764870931537,0.899719416386083,0.9317059483726152,1.0418469822493184,1.8015255233468224,2.1920105308250912,2.4903495420665807,0.9959051424269704,0.873496872648129,0.33965863068037,0.4544095159899047,0.7348422700060789,0.21337213943772043,0.013204409157171538,0.12739139506208622,0.01075619031103689
PIEZO,op_conditioned_diffusion_ours,0.4486112821986805,0.8386651063480332,0.9058306643672496,0.929112260819578,1.2897258822041997,1.82418954995851,2.077893880213601,2.279366136855556,0.8123646967720154,0.3631568997770063,0.0937906602164927,0.1820258048758546,0.6418650786591994,0.06864750590008148,0.014876931386007642,0.06353405373399827,0.01282946705493626
US,direct_scalar_regression,0.3050298034546002,0.6368745038460486,0.7833894500561168,0.8333333333333334,1.7826927175271334,3.3134524080702565,4.154627334590187,4.81531970520377,0.4798810075735781,0.7222784826080243,0.4641102038041327,0.4908371885376446,0.3749150565411021,0.565093780473049,0.02273670378199409,0.35367175962489894,0.011601580823044749
US,unet_3d,0.0645793983192357,0.0695597574662615,0.0726461772193479,0.0757325969724343,0.171232842041929,0.2534801777461632,0.3001380732343457,0.3389601985480355,0.7986167935187544,0.4013362240852459,0.6166416622302698,10.316249555966175,0.5804190479762831,0.1953049897956439,0.010767225995872006,-0.004974988372096497,0.0055214197038618365
US,kernel_gp,0.0523740111138485,0.5017214831239221,0.8747758752840054,0.9418278311570996,0.5973413726351359,1.0822534030728914,1.3556560366990729,1.572885814963344,0.969279688619634,0.5354602568986725,0.1320270406176503,0.2773915313692729,0.6592871703085738,0.16663737298656942,0.008572768090910494,0.07699048355993036,0.005278239431483756
US,vanilla_3d_diffusion,0.4494877638170321,0.8592205934685611,0.9212962962962964,0.933641975308642,0.9397866804493836,1.537806201228612,1.8352369559092705,2.058732609571221,0.7653517551058536,0.0783535320572024,0.1026963588606261,0.1642363585877343,0.6719135081355301,0.06274162722994513,0.007160505921682277,0.03918733362018357,0.004438754848344586
US,eapp_only_diffusion,0.5456413730803975,0.8756734006734006,0.9256172839506172,0.9333333333333332,0.9184759357835374,1.4572000194362869,1.7266651952425978,1.931185944720961,0.7431768527732977,0.0447160479365454,0.1297834076869107,0.2117002665197126,0.7145724572028684,0.06350270987348565,0.007946921651525,0.03407296009881949,0.004110419760817731
US,dps_inverse_diffusion,0.03492307902877,0.4791478470340258,0.8265757165147409,0.9193075743888752,0.4560557669787699,0.8258006892459168,1.0351096298432465,1.2071775273547976,0.9635620779746464,0.2902400912449931,0.1165497915426,0.3195831664946178,0.7130798036117311,0.10484756453243936,0.007854411237673395,0.05229739033080854,0.003884531474265343
US,op_conditioned_diffusion_ours,0.5109523418466507,0.9135309736935752,0.9384539842873176,0.954587542087542,0.4148208400517819,0.7479051792803498,0.9313604382826636,1.0831880569972958,0.9945945945945946,0.25,0.0648523481541391,0.2660694993584365,0.8412092252123843,0.0640190755139181,0.005970551868712357,0.05278853526787718,0.0033960178166072123
