operator,method,model_name,depth_group,n_eval_records,mean_d_out_mm,beta_extrap,beta_extrap_stderr,range_ratio,spearman_rho,pred_vs_true_slope,pred_vs_true_slope_stderr,true_zbottom_range_mm,pred_zbottom_range_mm,mean_absolute_error_mm,toward_mean_collapse_flag
MMP,direct_scalar_regression,D1_operator_only_scalar,deep,126,0.0,,,1.1377187215363653,0.9466232512139041,0.735641631344552,0.028626090446617167,3.857787609100342,4.389077186584473,0.8037074444785951,False
MMP,direct_scalar_regression,D1_operator_only_scalar,mid,135,0.0,,,0.944256683203127,0.92876694517752,0.6382506766614452,0.020526288872101832,3.909421443939209,3.691497325897217,0.6491693320097747,False
MMP,direct_scalar_regression,D1_operator_only_scalar,ood_deep,135,2.112370139360428,0.3484474744102063,0.028621523328055905,1.0691198817095473,0.9031687008723814,0.6515525377149305,0.028621521124537103,3.751152992248535,4.010432243347168,2.3899176138418694,False
MMP,direct_scalar_regression,D1_operator_only_scalar,shallow,162,0.05903715032359792,0.9411503954138355,0.25288957300128756,1.4200713442953807,0.7744748153730635,0.6325406547482807,0.05064400508513126,1.873113989830017,2.6599555015563965,1.6055324658935453,False
MMP,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,deep,126,0.0,,,1.3814974030226317,0.9401604302304054,0.9910426265360379,0.03245112369545412,3.857787609100342,5.32952356338501,0.42068793281676276,False
MMP,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,mid,135,0.0,,,1.206245454282662,0.9546725440454991,1.024054720467154,0.023489484380049424,3.909421443939209,4.715721845626831,0.3351076285044352,False
MMP,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,ood_deep,135,2.112370139360428,0.03085391905314526,0.013776243153563923,1.1184501123591506,0.882971115314296,0.8461637032133403,0.03810794909620235,3.751152992248535,4.195477485656738,0.5247381846110026,False
MMP,dps_inverse_diffusion,D4_operator_plus_clinical_geometry,shallow,162,0.05903715032359792,-0.03441149470896122,0.08915249757145599,1.5694290120696992,0.8721411401737084,1.0308729226660402,0.04608729640460781,1.873113989830017,2.9397194385528564,0.30780453483263653,False
MMP,eapp_only_diffusion,D1_eapp_only_diffusion,deep,126,0.0,,,1.3516870124680376,0.9209879947222555,1.0135291096751842,0.03894649379058978,3.857787609100342,5.214521408081055,0.49957058543250676,False
MMP,eapp_only_diffusion,D1_eapp_only_diffusion,mid,135,0.0,,,1.2982983420077279,0.9297182807291688,0.9990946582705252,0.03179962226467713,3.909421443939209,5.075595378875732,0.4520893856331154,False
MMP,eapp_only_diffusion,D1_eapp_only_diffusion,ood_deep,135,2.112370139360428,0.07827926479853317,0.01562746132381257,0.9501704518442079,0.9477790202789351,0.7804393406900818,0.023301787043986343,3.751152992248535,3.564234733581543,0.461397538361726,False
MMP,eapp_only_diffusion,D1_eapp_only_diffusion,shallow,162,0.05903715032359792,-0.6140715540177096,0.09676757880917376,1.3786688753940333,0.7693763825314066,0.9509279342288947,0.06103823407243105,1.873113989830017,2.5824039578437805,0.4135771228207482,False
MMP,kernel_gp,D5_depth_aware_kernel_gp,deep,126,0.0,,,1.3118507479326957,0.9223381662369139,0.9369230520759635,0.03642586675483826,3.857787609100342,5.0608415603637695,0.49544724585518,False
MMP,kernel_gp,D5_depth_aware_kernel_gp,mid,135,0.0,,,1.2832507445432182,0.9442956685667435,1.0518696789514888,0.028368131683008658,3.909421443939209,5.016767978668213,0.41875852125662344,False
MMP,kernel_gp,D5_depth_aware_kernel_gp,ood_deep,135,2.112370139360428,0.00910458707045407,0.014975384479307897,1.169862527517759,0.8689059850814554,0.9071205637884248,0.046012401027771675,3.751152992248535,4.388333320617676,0.6447502348158095,False
MMP,kernel_gp,D5_depth_aware_kernel_gp,shallow,162,0.05903715032359792,-0.06792891452568386,0.04470527832375527,1.3905129945174064,0.8841249980988656,1.0490296221974247,0.044837585362145736,1.873113989830017,2.604589343070984,0.32117000847686955,False
MMP,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,deep,126,0.0,,,1.2025338281934552,0.9787933378364995,1.0178254914965352,0.017454590077069197,3.857787609100342,4.639120101928711,0.19912615276518322,False
MMP,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,mid,135,0.0,,,1.1605201270306542,0.987881472763829,1.0163360548639246,0.012145416722920377,3.909421443939209,4.536962270736694,0.15773006545172796,False
MMP,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,ood_deep,135,2.112370139360428,0.03892201147180431,0.011184202464848898,1.062186385259049,0.9563264043122117,0.9225288968148341,0.019603574287336466,3.751152992248535,3.9844236373901367,0.2536074532402886,False
MMP,op_conditioned_diffusion_ours,D5_operator_plus_clinical_geometry_plus_depth_physics,shallow,162,0.05903715032359792,0.06599279576048651,0.07004274525526251,1.2497877688274777,0.9453993529317363,0.9689108337065843,0.025012944098432355,1.873113989830017,2.340994954109192,0.14470982330816765,False
MMP,unet_3d,D1_operator_only_3d_unet,deep,126,0.0,,,1.347818213932693,0.865000882581085,0.9451109032302936,0.04702884034670462,3.857787609100342,5.199596405029297,0.6264821612645709,False
MMP,unet_3d,D1_operator_only_3d_unet,mid,135,0.0,,,1.2798882401507272,0.9225174023997644,0.9792031777804577,0.03739865380582834,3.909421443939209,5.003622531890869,0.5462551752726237,False
MMP,unet_3d,D1_operator_only_3d_unet,ood_deep,135,2.112370139360428,0.043410804652612725,0.015702101384316967,1.244563375569391,0.7651790210253251,0.8743184168349722,0.06664437888071506,3.751152992248535,4.668547630310059,0.9111378987630209,False
MMP,unet_3d,D1_operator_only_3d_unet,shallow,162,0.05903715032359792,-0.13645452834748104,0.08750007879938154,1.4576007653368883,0.7841211858159992,0.903987925751502,0.05691652750767211,1.873113989830017,2.7302523851394653,0.3962581452028251,False
