figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,12,36,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,10.221957020363316,15.774939377238317,0.4089423737473787,7.982281206267933,0.8278645833333333,34.28220575175265
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,12,36,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,10.18007916438784,16.11741752957593,0.4033454459879986,8.019365523117933,0.8272569444444444,34.28220575175265
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,24,24,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,11.220605420288596,13.4033857928763,-0.139376542434014,7.350088648513445,0.9491319444444445,39.01487387556868
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,24,24,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,11.996650086853883,15.744825988275661,0.24839697028447227,8.551589229743668,0.8989583333333333,47.000133507715844
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,24,24,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,14.02105639352757,18.860475052631845,0.41560460390926246,10.367254558160234,0.8885416666666667,59.041084050457656
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,24,24,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,11.25554539882999,14.395574016725666,0.16360886091285606,7.936767338972594,0.9096354166666667,37.40343605532264
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,24,24,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,12.60395597701976,16.49485709826839,0.24798933151566602,9.118049090830914,0.8212673611111111,43.143130481950784
Figure 2,2D,US,ultrasound,U-Net,U-Net,24,24,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,16.712904588624447,24.661945160165622,0.3903265482182731,12.837750800913351,0.7606770833333333,45.66270765030363
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,24,72,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.260808377129444,29.624213766009234,0.456707866521359,19.48851716565372,0.9991319444444444,194.85204082723047
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,24,72,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,57.62914371914533,65.84023402168889,0.17346219329947135,38.154771022066086,0.8573784722222222,194.85204082723047
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,24,72,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,59.32187760448422,68.19751777195275,0.15456033301250696,39.57304603708793,0.8401909722222223,194.85204082723047
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,24,24,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,11.580243244339362,13.752590567559134,-0.6783456011512153,7.704674498246502,0.9228298611111111,37.15451356873718
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,24,24,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,12.28448737120228,15.903184693916327,0.26845736999409914,8.819424627683517,0.8303819444444445,42.200791089728924
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,24,24,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,15.62289911841641,23.136472496958906,0.39057960028220245,11.990005058238031,0.7723090277777778,45.067327760243785
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,24,72,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,3.6828340865999016,12.174758577765875,0.6784254199410448,5.718764091462857,0.8697048611111111,27.250398756507703
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,24,72,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,9.495534633062064,15.25649628331894,0.6027113692340123,7.6620700250959795,0.7760416666666666,27.250398756507703
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,24,72,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,9.544997483222774,15.497076939874209,0.5962510618185571,7.742767796672519,0.7744791666666667,27.250398756507703
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,48,48,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,6.414585648591201,8.275963846090526,0.11593825387878531,4.30789335460803,0.9441840277777778,23.92809401931611
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,48,48,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,8.722506956350397,11.583102699275557,0.4319858994840436,6.242612456581577,0.9247395833333333,38.50053897064292
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,48,48,20260604,45,fast_surrogate_benchmark_from_207_lesion_maps,11.687812237204545,15.39069426313435,0.47610776513407044,8.491763937275055,0.91484375,53.378712553781625
