dataset,split_mode,model,n_folds,mae_norm_mean,mae_norm_std,rmse_norm_mean,rmse_norm_std,psnr_norm_mean,psnr_norm_std,ssim_norm_mean,ssim_norm_std,mae_kpa_mean,mae_kpa_std,rmse_kpa_mean,rmse_kpa_std,spearman_pixel_mean,spearman_pixel_std,n_eval_samples_mean,n_eval_samples_std,train_count_mean,train_count_std,val_count_mean,val_count_std,test_count_mean,test_count_std,crps_norm_mean,crps_norm_std,cov50_mean,cov50_std,width50_norm_mean,width50_norm_std,cov80_mean,cov80_std,width80_norm_mean,width80_norm_std,cov90_mean,cov90_std,width90_norm_mean,width90_norm_std,cov95_mean,cov95_std,width95_norm_mean,width95_norm_std,uncertainty_error_spearman_mean,uncertainty_error_spearman_std,failure_auroc_top10_abs_error_mean,failure_auroc_top10_abs_error_std,uce_mean,uce_std,ence_mean,ence_std,ause_abs_error_mean,ause_abs_error_std,pit_mean_mean,pit_mean_std,posterior_std_norm_mean_mean,posterior_std_norm_mean_std,residual_scale_mean,residual_scale_std
method2c_targetmap,leave_disease_family,prior_init_diffusion_unet,15,0.1019514429072539,0.026931734712820246,0.14326482520013015,0.04590864835708591,17.31794209064552,2.762197879232147,0.13994591645896434,0.05045673217986138,5.3813312689463295,2.5259923328639386,13.472093475876726,6.426150265629653,0.5791937040385857,0.061285786823115966,3.4,2.6280537792569363,44.2,4.475116385823576,3.4,2.6280537792569363,3.4,2.6280537792569363,0.08889419784148535,0.02690431259805415,0.006936306382218997,0.007472854945253095,0.03133897893130779,0.001257794074359411,0.014427354683478673,0.015534749467175023,0.05925963521003723,0.00236084665983949,0.023838975777228672,0.0295712122798275,0.07524296790361404,0.0029487737988960617,0.046775986750920616,0.06693832569540503,0.08816727002461751,0.0034294806311507683,0.3672282096181652,0.13104052746142922,0.897693831321364,0.02629667096322279,0.09981512801488437,0.0383881300325339,3.977716302837355,1.6080495477937289,0.01057348862206497,0.004460481533782957,0.10509340465068817,0.03756564852586833,0.023609075322747232,0.0009181912686697946,,
method2c_targetmap,leave_disease_family,residual_likelihood_guided_diffusion,15,0.10198287144303322,0.02688304063989744,0.14333318151108917,0.045903866165410936,17.31300988295449,2.759368357939277,0.1398836812832289,0.05039948813275625,5.383996200561524,2.527522961710981,13.479445271813159,6.43128274743181,0.5786886634277087,0.06210967240887814,3.4,2.6280537792569363,44.2,4.475116385823576,3.4,2.6280537792569363,3.4,2.6280537792569363,0.0889254612227281,0.026869634152142136,0.00692138671875,0.0075293377238479925,0.03133421279489994,0.0012746467825849779,0.014740668485562007,0.01595960247393496,0.05925581529736519,0.0023464029275170563,0.024327256778875987,0.030943921207035017,0.07524219900369644,0.002961373628324157,0.04749755859375,0.06903473599497963,0.08816471298535665,0.0034524466904191373,0.364260651824447,0.13006228481590915,0.899324799003754,0.02578680841723509,0.09990032575277191,0.03815406078163265,3.984021063087227,1.599479193753335,0.010592848030947252,0.004394781549844124,0.10512538452943167,0.037491865590331526,0.023608750353256863,0.0009221811979671112,,
method2c_targetmap,leave_disease_family,unet_canonical_bxyz,15,0.10110219965378443,0.025638103615887836,0.14489922653033968,0.04435121010716225,17.179745970151302,2.6320393244388707,0.1313745518318481,0.04381550409638314,5.448706865310669,2.428608932634485,13.775534643598546,6.124371488252096,0.5769739380761018,0.06094443664062506,3.4,2.6280537792569363,44.2,4.475116385823576,3.4,2.6280537792569363,3.4,2.6280537792569363,0.10110219915707906,0.025638104005600036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.13103247427840145,0.03440179891556493,13103247.427840145,3440179.8915564935,0.038035949881608896,0.012955077741675645,0.09975857213139534,0.037081608572432354,0.0,0.0,,
method2c_targetmap,leave_disease_family,explicit_residual_target_diffusion,15,0.11682446499665579,0.02350559592587477,0.1531896120837969,0.04118670566287203,16.60417415803229,2.3084776484766003,0.11490639020792312,0.040229648340484564,5.617068815231323,2.3976878987263706,13.617659862986864,6.063596589491793,0.5749616797198069,0.06291369271024123,3.4,2.6280537792569363,44.2,4.475116385823576,3.4,2.6280537792569363,3.4,2.6280537792569363,0.07069394638140997,0.01766907062208904,0.46184760332107544,0.1661712751467273,0.12897400856018065,0.026608945590285937,0.8491143107414245,0.04257883163799336,0.21670339008172354,0.04376066124877276,0.88551025390625,0.04153890397176823,0.2676974544922511,0.05326148404044213,0.9041341145833334,0.041712330591380256,0.30491950015227,0.059392235431410687,0.7136319372258514,0.13116730194009527,0.9194486370240235,0.05617171773943359,0.04654620371654702,0.027039111853207558,0.4628625316882991,0.2823917689532982,0.009540411548247854,0.007948086466969883,0.31869099934895834,0.048099692647416266,0.08840348323186238,0.01782397670192103,0.2673236161470413,0.05017859034404299
method2c_targetmap,leave_disease_family,srcnn_bz_single_channel,15,0.11460816959540049,0.02644969755000618,0.23107502754861164,0.05171990774598918,12.932345781377737,1.8794896783746666,0.3997840349045064,0.13740059994966752,6.925392611821493,3.3881642952711504,18.495608193633917,8.36663270890486,0.4005885833291195,0.1153969659110141,3.4,2.6280537792569363,44.2,4.475116385823576,3.4,2.6280537792569363,3.4,2.6280537792569363,0.11460817058881125,0.02644969640010272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.19860324434466933,0.036582327465537676,19860324.434466936,3658232.746553768,0.09089086925272985,0.01923693653392909,0.12816433409849803,0.023985608972680733,0.0,0.0,,
method2c_targetmap,leave_disease_family,train_mean_prior,15,0.17128209968407948,0.026305332181584668,0.2685584801089111,0.05388227406946235,11.58602921709171,1.6811890005672308,0.035485172478689084,0.014618634874940233,7.697511784235636,3.455857453117083,19.92488353050194,8.625249133627396,,,3.4,2.6280537792569363,44.2,4.475116385823576,3.4,2.6280537792569363,3.4,2.6280537792569363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method2c_targetmap,leave_prior_group,residual_likelihood_guided_diffusion,22,0.10017558051781221,0.020945089840791527,0.14019661913148895,0.03866169750870391,17.4197376723926,2.5310155987269214,0.12818081000340031,0.044836370249422476,4.757670865817503,3.044669829020272,11.479959683062184,7.792786459052951,0.5612624301879546,0.08670748096393648,2.3181818181818183,2.4566489303403016,46.36363636363637,4.216261318292811,2.3181818181818183,2.4566489303403016,2.3181818181818183,2.4566489303403016,0.08712348037145355,0.02088019565686581,0.007280754306438294,0.007627784745165738,0.03132743566212329,0.0013676952185112292,0.015416925519027493,0.013751156334180226,0.05926600267941302,0.002549391260385889,0.023548473011363636,0.01950972917844324,0.07527887719598683,0.003196583207714686,0.04759632457386364,0.04888685478529083,0.08824563873085109,0.003702621787090416,0.33531558620162305,0.09697806322666079,0.8918049650357975,0.054644154929464894,0.09849958522309966,0.030712827280986555,3.948051816439482,1.2023128910570564,0.011668969184714927,0.005851618125756618,0.11136763017963279,0.03674552718348197,0.02361951751465147,0.000996002928858291,,
method2c_targetmap,leave_prior_group,prior_init_diffusion_unet,22,0.10018322041088884,0.02087849973597983,0.14021577685251252,0.03865513182756539,17.418298881538284,2.529926494689085,0.12805552263461958,0.044812625398000815,4.758534277027303,3.044953258865438,11.479611576687743,7.797466034490672,0.5611942704590901,0.08793624242309019,2.3181818181818183,2.4566489303403016,46.36363636363637,4.216261318292811,2.3181818181818183,2.4566489303403016,2.3181818181818183,2.4566489303403016,0.08714372309094126,0.020803588850751977,0.007224343039772727,0.007544506115104365,0.031317108056762,0.0013682623517628965,0.01567031400786205,0.01385554257359957,0.059207715432752266,0.0025600907805603786,0.024240204895084553,0.02053343313830056,0.07517796856435863,0.0031853347290703164,0.04711081764914773,0.048798727061337616,0.08813885497775945,0.003708707490123163,0.3332798206830018,0.10011706341912331,0.8903634454829834,0.05452582512338782,0.09870030947382896,0.03065784591729771,3.9602703176192806,1.197953745305474,0.011779570858838457,0.006064414090300111,0.11137689260596578,0.036790802836916894,0.023597602647813885,0.0009959861436578314,,
method2c_targetmap,leave_prior_group,unet_canonical_bxyz,22,0.09890554438937794,0.019923277444224667,0.14111781511354846,0.03769261717504626,17.3378856250952,2.434885939908615,0.12241529705793118,0.043152142287279746,4.755320045081052,2.941202621854626,11.644206589873955,7.474748809428785,0.5618603286505185,0.0855100100658949,2.3181818181818183,2.4566489303403016,46.36363636363637,4.216261318292811,2.3181818181818183,2.4566489303403016,2.3181818181818183,2.4566489303403016,0.09890554371205243,0.01992327664018383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.12488006642905022,0.027070075850057843,12488006.642905025,2707007.585005784,0.035282426885874546,0.010390773313692106,0.10622244175862182,0.03483194320999403,0.0,0.0,,
method2c_targetmap,leave_prior_group,explicit_residual_target_diffusion,22,0.11311428621411324,0.020575840504693015,0.14839686645862413,0.03639395207605449,16.85054469965615,2.2435701497566334,0.10746256023588957,0.039472288406201414,4.945158237760717,2.9537712333735695,11.616447188841109,7.474743390032661,0.5585886432384685,0.09193447703637203,2.3181818181818183,2.4566489303403016,46.36363636363637,4.216261318292811,2.3181818181818183,2.4566489303403016,2.3181818181818183,2.4566489303403016,0.06908073902807453,0.01577558790896693,0.4440788518298756,0.200332435732364,0.12291665781628001,0.023260280266048174,0.81982236829671,0.10137607968014642,0.20839772915298288,0.03597034155661935,0.8721174760298296,0.06326495540881123,0.2574634714560075,0.04380049838957288,0.8969782049005682,0.05131076223814409,0.2931103144179691,0.04927655018989015,0.6727571815675899,0.15711902993409751,0.9106697230642595,0.05717180437227913,0.04530239740987132,0.022554971238337742,0.4759435906859217,0.2550432610900429,0.009656198068773431,0.006178865052993225,0.3169126944108443,0.06198182344945815,0.08482532592659647,0.014893212649580694,0.2564230683175,0.04686679949821891
