operator,method,n_cases,n_seeds,mae_zbottom_mm,mae_zbottom_mm_seed_sd,rmse_zbottom_mm,rmse_zbottom_mm_seed_sd,bias_zbottom_mm,bias_zbottom_mm_seed_sd,p90ae_zbottom_mm,p90ae_zbottom_mm_seed_sd,crps_zbottom_mm,crps_zbottom_mm_seed_sd,wis90_zbottom_mm,wis90_zbottom_mm_seed_sd,cov50_zbottom,cov50_zbottom_seed_sd,cov80_zbottom,cov80_zbottom_seed_sd,cov90_zbottom,cov90_zbottom_seed_sd,cov95_zbottom,cov95_zbottom_seed_sd,width50_zbottom_mm,width50_zbottom_mm_seed_sd,width80_zbottom_mm,width80_zbottom_mm_seed_sd,width90_zbottom_mm,width90_zbottom_mm_seed_sd,width95_zbottom_mm,width95_zbottom_mm_seed_sd,interval_iou_mean,interval_iou_mean_seed_sd,auroc_fail_tau_1mm,auroc_fail_tau_1mm_seed_sd,auprc_fail_tau_1mm,auprc_fail_tau_1mm_seed_sd,uce,uce_seed_sd,ence,ence_seed_sd,error_vs_dout_slope,error_vs_dout_slope_seed_sd,uncertainty_vs_dout_slope,uncertainty_vs_dout_slope_seed_sd,range_compression_ratio,range_compression_ratio_seed_sd,spearman_depth_rank,spearman_depth_rank_seed_sd,mean_forward_residual,mean_forward_residual_seed_sd,mae_zbottom_mm_boot95_lo,mae_zbottom_mm_boot95_hi
MMP,direct_scalar_regression,181,3,1.3741823178086812,0.01843516056347379,1.6184678988729049,0.017015441909846527,-0.26807045185973716,0.013071380510946291,1.3776064430004114,0.018944996847074496,0.941347318852119,0.012891150464536025,7.481097426969645,0.09256667252965328,0.3133191672825819,0.007445924736234402,0.6141954778133639,0.0057065891509690625,0.7952441077441077,0.014467384704148703,0.8558221099887767,0.0004690867984652121,1.8111276300506791,0.019205101025124318,3.359731374730646,0.021506445906648096,4.218688826461405,0.005835408295171708,4.9081011628196345,0.007045993948670845,0.3677767219577251,0.006107968721043599,0.4552271472090838,0.005271546403581876,0.6842223246536476,0.004878226112564754,0.4536987235846244,0.014451359824917695,0.44599933689632293,0.012589459210965388,0.5839629490955811,0.008513747329937071,0.3092656392028945,0.0030213247391756935,0.6429120335888516,0.0038297110092559337,0.9880553315088418,0.0006077448881827422,0.12127822701901832,0.001174306068008302,1.2822408382227142,1.5044543394667993
MMP,unet_3d,181,3,0.6349338225937715,0.004798420283193833,0.6707549692139493,0.004915684194380246,-0.014017613017118227,0.008644902255475479,0.6359005688246476,0.004747269725271924,0.5930550788067411,0.00420665079162775,11.366485768819985,0.08404966483567632,0.03036120007664723,0.012845357030054546,0.03839033971147792,0.008792232974740506,0.04729715857764638,0.002960919397734851,0.05346999808381922,0.003370424249927667,0.1306238751365826,0.0010593395217671226,0.19248448922467384,0.0018670778321312907,0.2288491244141506,0.0018598809289964,0.2589687064008776,0.0017951981273262435,0.6065182176178842,0.0026402881238833447,0.8800557753234978,0.008268094583754116,0.2930464254323066,0.010636054845306945,0.5543123293814441,0.0028981135210748303,11.158451751143323,0.1669430845754854,0.13469443047656762,0.010954229869953393,-0.0031580535386413785,0.0009125689763279669,1.0010343625069658,0.0033088937167180363,0.9856996254720459,0.0008589179531433279,0.07962178854276519,3.86720848342178e-05,0.5950133474521103,0.6553719417479407
MMP,kernel_gp,181,3,0.47198627741025717,0.009763144170576867,0.502742476130277,0.010638287636341866,-0.057663035728578,0.031988339188472874,0.4722583499753458,0.009815477169224639,0.29872701810164637,0.006221435824031018,1.868370831610494,0.05166935001403337,0.048128301990090605,0.013895191026517012,0.5466478812515397,0.030921020809177795,0.9048195368317319,0.023016126602919632,0.9536510087323095,0.011484005690160736,0.5499395839031732,0.0054226050925631555,0.9880948845091778,0.010158702664727383,1.2388554337896405,0.007880093109474665,1.4425612365018654,0.004477395996830133,0.6881775755621488,0.006314581050301984,0.9356028159306848,0.01574853542066662,0.06970991970991972,0.019709919709919706,0.08797255485738363,0.00729470667061191,0.2382990670497502,0.021058269906538214,0.07356277802240253,0.01208790017676426,0.05353123370280461,0.002768241921037229,0.9822552958518797,0.005798683973996517,0.9917217199949647,0.0004341995105630217,0.07083952407696281,0.0004151566617053965,0.4444036700440809,0.4858789550583266
MMP,vanilla_3d_diffusion,181,3,0.5375437696745009,0.007576738203281369,0.5724315101739093,0.007690665460238723,-0.09948435673657167,0.026427205809098152,0.5385354657259668,0.007344132872953787,0.3329347597974875,0.004241726617863346,2.802719420424168,0.019683715219637674,0.33148336344474555,0.0031724240104876577,0.8536729079412005,0.02336099005091649,0.9138468013468014,0.006232462537271599,0.9188271604938271,0.0048013423413901905,0.9280571382111288,0.0028290376573639735,1.5124125736768066,0.005500388448899124,1.7997710805613263,0.004593687223140562,2.0126354531750934,0.0098755924505794,0.6502079291701294,0.005454218419378687,0.5816361082754525,0.07031942732517088,0.03216895666327584,0.008144849610647976,0.06598450670398433,0.01146246778947745,0.11154755985845298,0.01910151904402458,0.0606509790235308,0.005751184650155189,0.028364221181230807,0.0008262321427723932,0.9670412911326961,0.003921539162535454,0.9866237118609035,0.0012660528337268653,0.07442344886928788,0.00019764377127853237,0.5130406713723071,0.5521215136971197
MMP,eapp_only_diffusion,181,3,0.4753988499994952,0.012837286456995162,0.5091196755168331,0.011935904746733748,-0.08999418838569107,0.029851485613490568,0.4761013124830753,0.012968445582639144,0.2929078775683384,0.007771473153379457,2.57383431149009,0.036261960531584696,0.4482059757466262,0.03616472698821468,0.8872088089567765,0.0043934069688005215,0.9228395061728395,0.0004364856673990844,0.9259259259259259,0.002618914004394611,0.9152424224711012,0.005460767583159398,1.440351912071146,0.0014634310890026603,1.6971671374277715,0.004014725513842326,1.8909753831063796,0.004900727153847102,0.6846529312943108,0.006994564619185668,0.4990942028985508,0.12784901738197543,0.011894427665514922,0.0040191064520657795,0.0781386234466619,0.0033264803767255996,0.1290635509441356,0.004488977177360492,0.061383596177533827,0.006548198247964857,0.023771062242027796,0.001441499701483811,0.9690986135529682,0.0033199579243297886,0.9890586463641492,0.0008305154442364879,0.0710211182678036,0.000853693881822303,0.4508594257882877,0.4915617978085233
MMP,dps_inverse_diffusion,181,3,0.39519672837200964,0.010358695485031802,0.43502699845230824,0.01275089065438737,-0.0029038108999186996,0.033800215308404935,0.3959029298351324,0.010166384042020743,0.2539457945427708,0.007776530102782302,1.7459733953142524,0.09833481295938225,0.02637143795680381,0.0073782518176060356,0.5267801661602475,0.023077572436577425,0.8717606279598149,0.007533558733067801,0.9279916372396046,0.011142355731689778,0.4497060920156679,0.00615332179917033,0.8044363106135292,0.0074889962987665995,1.0057341526120362,0.009245625177389838,1.1650973971640068,0.01183833202333544,0.731613315063908,0.004520753889494047,0.9238788238788238,0.021176121176121165,0.11394638605737004,0.08763059658368583,0.08883061241271446,0.006409035166565193,0.2689123193799867,0.018384672043006436,0.06247567791622114,0.022404971410945426,0.04502631234655846,0.006878984616861704,0.9891735137348094,0.009071360993264051,0.9927598462702827,0.00014063465055810708,0.0662249400540721,0.0006128460442779307,0.37360859934720364,0.4138703991495528
MMP,op_conditioned_diffusion_ours,181,3,0.20079221272253664,0.006995119050001657,0.2579974190078735,0.01188860068643392,-0.030917753447662663,0.015421032767278296,0.20165265485625475,0.006761766527991654,0.12965494403626202,0.004963401098655746,1.2520508096613732,0.05680233876605054,0.5876680079932112,0.009722831246111636,0.9091572910678601,0.015735577327760465,0.9364214639621143,0.011143583523336928,0.9530443322109989,0.010669134271186528,0.4039725147287953,0.005540711528127139,0.7271676752854114,0.005375253988105328,0.9002349406792978,0.004576271411239115,1.0452962223518145,0.006038608091605778,0.8510702734814407,0.00478654011651736,1.0,0.0,0.0,0.0,0.08113144970029272,0.007475616484215409,0.31304216231413423,0.024055026578727212,0.049359523213835604,0.013524619346379635,0.041376104089593434,0.0035096239401869087,0.9893629475001401,0.004083327272519014,0.9966910502014866,0.00023602232619542187,0.05601063468134881,0.0004886682243036034,0.1788045229709009,0.21984612976292645
PIEZO,direct_scalar_regression,181,3,1.0901737171583485,0.005363140553769013,1.264065115646388,0.009693770591023675,0.19194581548188006,0.029033199609343998,1.0924281239298284,0.005655138321410788,0.7763303628177001,0.007228402656012717,8.674142729553731,0.045888532436058845,0.5554975568695081,0.012244019713739425,0.7070707070707071,0.006188252362889964,0.7583473625140291,0.007766745000678732,0.7732884399551067,0.0036109268848471144,1.9943407068652987,0.006029274698302281,3.484771974907653,0.010692101171667504,4.265734917107474,0.006569315219285246,4.8810972508756025,0.013541764785185935,0.435193330927919,0.0015260747827974016,0.34370787886610876,0.00971873195641473,0.581250666825885,0.019826001034316854,0.7488026391487624,0.005481178028785561,0.7779637209371776,0.00959304635789556,0.3040405136597155,0.008700124445814703,0.3762626766561465,0.0016725449397009195,0.7473985280227816,0.0029551942766900333,0.9876780005812263,0.0005021859605200131,0.13651089985144962,0.0002409121784318612,1.0421364728655762,1.2084386847561646
PIEZO,unet_3d,181,3,1.018951632545697,0.02803024942456723,1.2901958268550875,0.042575405451186155,-0.233735367892654,0.0810696972163528,1.0204747089552082,0.02810572186732099,1.0090699805593397,0.017056571587875408,8.719712588734092,0.09656379891088179,0.5442550505050505,0.014581496062984835,0.6090698653198653,0.004536092116265129,0.638699494949495,0.0026189140043946114,0.6461069023569023,0.002618914004394611,2.9954773354759343,0.039933441857278026,3.527388772605384,0.0430349158509709,3.8004988351537006,0.04472761462064986,4.006081955797886,0.040005785015981545,0.4885291242937934,0.007072338637696206,0.8212105102929353,0.008485330235057948,0.7854741141144896,0.013986080668867109,0.8993795859660727,0.023484381199706205,1.242066160934602,0.015175007354144825,0.4402115780508738,0.07531911298061321,0.1796680447699257,0.05224763449638723,0.9519659206580652,0.014041237820725616,0.9619082252858343,0.0008733514084330363,0.13004791573311458,0.0013822579729738447,0.9089073546615349,1.1019191299947062
PIEZO,kernel_gp,181,3,0.60497265709706,0.0039321293209330825,0.8165713613755679,0.01049868504139776,-0.17041208113594772,0.020776662905010634,0.6074969232484094,0.00437592105696479,0.4476579837877796,0.0040791321066439195,3.6852609090878405,0.05093569478385782,0.47871756179683006,0.019133379898872694,0.7159301346801348,0.0065472850109865284,0.9003717732884401,0.008828931355329729,0.9389870931537598,0.004971835547735315,1.2800145173973785,0.012500969910800928,2.2239865826393244,0.013445510992190067,2.695717480987581,0.007228844353952588,3.0729819074741633,0.00965333046133259,0.660826638217518,0.0026561645820300517,0.9588478085047406,0.024960904739984666,0.8501037541576237,0.035228587268201765,0.3861058360930146,0.012617824001729004,0.437067181259688,0.014107198441936225,0.2988829100061648,0.012814579253158922,0.14928225719804333,0.009866721129709972,0.9619727085792947,0.0038468841642972968,0.9819944146319858,0.0008575298108145515,0.1080779957971556,8.518049053795034e-05,0.5362121062481731,0.6719669396865282
