operator,method,seed_id,mae_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm
MMP,direct_scalar_regression,20260531,1.414016397971746,0.975118118663279,0.7473118279569892,4.159009643011196
MMP,direct_scalar_regression,20260532,1.3922322370795241,0.9577995656454225,0.7688172043010753,4.170335769613263
MMP,direct_scalar_regression,20260533,1.3709866908291488,0.944176443552738,0.7849462365591398,4.1600112628872665
MMP,dps_inverse_diffusion,20260531,0.3904814012594934,0.25055635867798964,0.8655913978494624,0.9906220579019156
MMP,dps_inverse_diffusion,20260532,0.380012425706635,0.2430895279879281,0.8817204301075269,0.9861229648833632
MMP,dps_inverse_diffusion,20260533,0.40362780848523305,0.2606548978233725,0.8655913978494624,1.005614708476169
MMP,eapp_only_diffusion,20260531,0.4694570008916292,0.2882867624437992,0.9247311827956989,1.674780602833276
MMP,eapp_only_diffusion,20260532,0.4876760975474227,0.3005062680474698,0.9247311827956989,1.6815843409107578
MMP,eapp_only_diffusion,20260533,0.45792035997187464,0.28266165944356464,0.9247311827956989,1.6717401479521103
MMP,kernel_gp,20260531,0.4673820322424461,0.2957175270984225,0.9193548387096774,1.22272436008338
MMP,kernel_gp,20260532,0.4750919600450988,0.3005012504355988,0.8709677419354839,1.2326914705816776
MMP,kernel_gp,20260533,0.45176110400518643,0.2857156712090684,0.9247311827956989,1.2157111524894673
MMP,op_conditioned_diffusion_ours,20260531,0.20734386527752466,0.13486711702235593,0.9193548387096774,0.8945428054018685
MMP,op_conditioned_diffusion_ours,20260532,0.19920489128896854,0.12705203492996495,0.9408602150537635,0.8911192320046885
MMP,op_conditioned_diffusion_ours,20260533,0.19049764315694093,0.1231999020336289,0.946236559139785,0.8839986388882
MMP,unet_3d,20260531,0.6184215412552794,0.5766990873429574,0.04838709677419355,0.22772264088033348
MMP,unet_3d,20260532,0.6303807381131614,0.5867257996926852,0.04838709677419355,0.23237838288468698
MMP,unet_3d,20260533,0.6246562502648261,0.583424948998969,0.053763440860215055,0.22946167557790714
MMP,vanilla_3d_diffusion,20260531,0.526925591839304,0.3280481315758673,0.9086021505376344,1.772863751201219
MMP,vanilla_3d_diffusion,20260532,0.5441194789175295,0.3365050091555156,0.9139784946236559,1.783693085498707
MMP,vanilla_3d_diffusion,20260533,0.5307063865413283,0.32738978880180475,0.9247311827956989,1.774808560391908
PIEZO,direct_scalar_regression,20260531,1.116451801392195,0.7939596529492636,0.7365591397849462,4.157096144941544
PIEZO,direct_scalar_regression,20260532,1.1324329994259201,0.8094802653852636,0.7204301075268817,4.161069189701029
PIEZO,direct_scalar_regression,20260533,1.1221065614079289,0.8090220612569125,0.7204301075268817,4.1407212461515135
PIEZO,dps_inverse_diffusion,20260531,0.4118431842607624,0.315318671976988,0.9086021505376344,2.1106618836682327
PIEZO,dps_inverse_diffusion,20260532,0.4340649810534996,0.3295595015762026,0.9086021505376344,2.1154319210238355
PIEZO,dps_inverse_diffusion,20260533,0.45588367513447314,0.3444690642978024,0.8870967741935484,2.1652293828706584
PIEZO,eapp_only_diffusion,20260531,0.6640454764513962,0.4866055198586647,0.8924731182795699,2.1488480391521603
PIEZO,eapp_only_diffusion,20260532,0.7743944460743014,0.5703463630935695,0.8602150537634409,2.2420118322615976
PIEZO,eapp_only_diffusion,20260533,0.690083195993206,0.507453552609808,0.8602150537634409,2.1340657280337423
PIEZO,kernel_gp,20260531,0.5969788073711703,0.43736653024426253,0.9032258064516129,2.6123179364348608
PIEZO,kernel_gp,20260532,0.6043090408347336,0.4479283371007382,0.8870967741935484,2.6318998344803366
PIEZO,kernel_gp,20260533,0.6044987705636231,0.4416037086014048,0.9139784946236559,2.6160738033793303
PIEZO,op_conditioned_diffusion_ours,20260531,0.592201614884848,0.32458874817013356,0.9139784946236559,2.0034318545973426
PIEZO,op_conditioned_diffusion_ours,20260532,0.5870074379971169,0.32127717673755524,0.9193548387096774,2.020531579723922
PIEZO,op_conditioned_diffusion_ours,20260533,0.5787853580019073,0.31490944324449577,0.8978494623655914,2.031266103989334
PIEZO,unet_3d,20260531,0.9909521053116728,0.9799684143703771,0.6075268817204301,3.6053332160317124
PIEZO,unet_3d,20260532,1.039059440245563,1.0087362487615747,0.6075268817204301,3.7015998924771942
PIEZO,unet_3d,20260533,0.9763866888163147,0.9702365399315227,0.6129032258064516,3.6131686287221085
PIEZO,vanilla_3d_diffusion,20260531,0.6115944330274903,0.44660969885491597,0.8978494623655914,2.2048888223145595
