case_id,config_id,seed_id,operator,method,depth_group,n_modes,mode_1_mm,mode_2_mm,mode_1_weight,mode_2_weight,valley_ratio,hdi90_components,multimodal_flag,q05_mm,q95_mm
eval_000,shallow_0231,20260531,PIEZO,eapp_only_diffusion,shallow,2,1.8937875751503006,1.0220440881763526,0.7578125,0.7265625,0.7370596296997481,1,False,0.9109211564064026,2.140705299377441
eval_000,shallow_0231,20260532,PIEZO,eapp_only_diffusion,shallow,2,1.8336673346693386,1.0821643286573146,0.8515625,0.78125,0.7836981687933509,1,False,0.9288210272789001,2.1656975746154785
eval_000,shallow_0231,20260533,PIEZO,eapp_only_diffusion,shallow,2,1.9539078156312624,1.0521042084168337,0.7578125,0.6796875,0.6350351557984764,1,True,0.9420422911643982,2.2312691926956174
eval_000,shallow_0231,20260531,PIEZO,dps_inverse_diffusion,shallow,1,1.4128256513026052,,1.0,,1.0,1,False,0.8218477487564086,1.8743000745773315
eval_000,shallow_0231,20260532,PIEZO,dps_inverse_diffusion,shallow,1,1.503006012024048,,0.9921875,,1.0,1,False,1.0812045454978942,1.8531726837158202
eval_000,shallow_0231,20260533,PIEZO,dps_inverse_diffusion,shallow,1,2.1342685370741483,,1.0,,1.0,1,False,1.6355850458145142,2.5899193406105034
eval_000,shallow_0231,20260531,PIEZO,op_conditioned_diffusion_ours,shallow,1,1.593186372745491,,1.0,,1.0,1,False,1.2735365450382232,1.9809698224067687
eval_000,shallow_0231,20260532,PIEZO,op_conditioned_diffusion_ours,shallow,1,1.9539078156312624,,1.0,,1.0,1,False,1.621024477481842,2.4436359763145448
eval_000,shallow_0231,20260533,PIEZO,op_conditioned_diffusion_ours,shallow,1,1.9539078156312624,,0.9921875,,1.0,1,False,1.624575662612915,2.4612331867218016
eval_000,shallow_0231,20260531,US,direct_scalar_regression,shallow,1,3.4569138276553106,,0.765625,,1.0,1,False,2.3510684251785277,4.846112203598022
eval_000,shallow_0231,20260532,US,direct_scalar_regression,shallow,1,3.4268537074148293,,0.6953125,,1.0,1,False,2.341312658786774,4.635884261131286
eval_000,shallow_0231,20260533,US,direct_scalar_regression,shallow,1,3.9078156312625247,,0.765625,,1.0,1,False,2.5110719323158266,4.9465194702148425
eval_000,shallow_0231,20260531,US,unet_3d,shallow,1,2.1342685370741483,,1.0,,1.0,1,False,2.080173134803772,2.223989081382751
eval_000,shallow_0231,20260532,US,unet_3d,shallow,1,2.1342685370741483,,1.0,,1.0,1,False,2.0575135231018065,2.193331813812256
eval_000,shallow_0231,20260533,US,unet_3d,shallow,1,2.164328657314629,,1.0,,1.0,1,False,2.0773345589637757,2.2015482544898988
eval_000,shallow_0231,20260531,US,kernel_gp,shallow,1,2.0140280561122244,,1.0,,1.0,1,False,1.7112248718738556,2.436732769012451
