operator,method,cov50_zbottom,cov80_zbottom,cov90_zbottom,cov95_zbottom,width50_zbottom_mm,width80_zbottom_mm,width90_zbottom_mm,width95_zbottom_mm,auroc_fail_tau_1mm,auprc_fail_tau_1mm,uce,ence,interval_iou_mean
MMP,direct_scalar_regression,0.3133191672825819,0.6141954778133639,0.7952441077441077,0.8558221099887767,1.8111276300506791,3.359731374730646,4.218688826461405,4.9081011628196345,0.4552271472090838,0.6842223246536476,0.4536987235846244,0.44599933689632293,0.3677767219577251
MMP,unet_3d,0.03036120007664723,0.03839033971147792,0.04729715857764638,0.05346999808381922,0.1306238751365826,0.19248448922467384,0.2288491244141506,0.2589687064008776,0.8800557753234978,0.2930464254323066,0.5543123293814441,11.158451751143323,0.6065182176178842
MMP,kernel_gp,0.048128301990090605,0.5466478812515397,0.9048195368317319,0.9536510087323095,0.5499395839031732,0.9880948845091778,1.2388554337896405,1.4425612365018654,0.9356028159306848,0.06970991970991972,0.08797255485738363,0.2382990670497502,0.6881775755621488
MMP,vanilla_3d_diffusion,0.33148336344474555,0.8536729079412005,0.9138468013468014,0.9188271604938271,0.9280571382111288,1.5124125736768066,1.7997710805613263,2.0126354531750934,0.5816361082754525,0.03216895666327584,0.06598450670398433,0.11154755985845298,0.6502079291701294
MMP,eapp_only_diffusion,0.4482059757466262,0.8872088089567765,0.9228395061728395,0.9259259259259259,0.9152424224711012,1.440351912071146,1.6971671374277715,1.8909753831063796,0.4990942028985508,0.011894427665514922,0.0781386234466619,0.1290635509441356,0.6846529312943108
MMP,dps_inverse_diffusion,0.02637143795680381,0.5267801661602475,0.8717606279598149,0.9279916372396046,0.4497060920156679,0.8044363106135292,1.0057341526120362,1.1650973971640068,0.9238788238788238,0.11394638605737004,0.08883061241271446,0.2689123193799867,0.731613315063908
MMP,op_conditioned_diffusion_ours,0.5876680079932112,0.9091572910678601,0.9364214639621143,0.9530443322109989,0.4039725147287953,0.7271676752854114,0.9002349406792978,1.0452962223518145,1.0,0.0,0.08113144970029272,0.31304216231413423,0.8510702734814407
PIEZO,direct_scalar_regression,0.5554975568695081,0.7070707070707071,0.7583473625140291,0.7732884399551067,1.9943407068652987,3.484771974907653,4.265734917107474,4.8810972508756025,0.34370787886610876,0.581250666825885,0.7488026391487624,0.7779637209371776,0.435193330927919
PIEZO,unet_3d,0.5442550505050505,0.6090698653198653,0.638699494949495,0.6461069023569023,2.9954773354759343,3.527388772605384,3.8004988351537006,4.006081955797886,0.8212105102929353,0.7854741141144896,0.8993795859660727,1.242066160934602,0.4885291242937934
PIEZO,kernel_gp,0.47871756179683006,0.7159301346801348,0.9003717732884401,0.9389870931537598,1.2800145173973785,2.2239865826393244,2.695717480987581,3.0729819074741633,0.9588478085047406,0.8501037541576237,0.3861058360930146,0.437067181259688,0.660826638217518
PIEZO,vanilla_3d_diffusion,0.5930353672223591,0.8510614272809395,0.8939024390243903,0.9035230352303523,1.0369449784331521,1.828453052003259,2.243579651948418,2.558873646592355,0.9651204119954121,0.8727718852928578,0.31428366994133494,0.40998586786626595,0.6670576935000291
PIEZO,eapp_only_diffusion,0.5280087459965509,0.7779810298102982,0.8664182475158085,0.9035230352303523,1.027916444695872,1.816697439001176,2.213355016222798,2.5019126519448704,0.9413277046439731,0.8635067996947215,0.33969288420181437,0.41563050105967364,0.6307305451557185
PIEZO,dps_inverse_diffusion,0.5514817894391065,0.7516764870931537,0.899719416386083,0.9317059483726151,1.0418469822493184,1.8015255233468226,2.1920105308250912,2.4903495420665807,0.9959051424269703,0.873496872648129,0.33965863068037,0.4544095159899047,0.7348422700060789
PIEZO,op_conditioned_diffusion_ours,0.44861128219868057,0.8386651063480332,0.9058306643672497,0.9291122608195779,1.2897258822041995,1.8241895499585101,2.077893880213601,2.2793661368555562,0.8123646967720154,0.3631568997770063,0.09379066021649274,0.18202580487585462,0.6418650786591994
