case_id,config_id,seed_id,depth_group,operator,method,absolute_error_mm,d_out_mm,posterior_std_zbottom_mm
eval_000,shallow_0231,20260531,shallow,US,kernel_gp,0.27075756472939183,0.0,0.24240753054618835
eval_000,shallow_0231,20260532,shallow,US,kernel_gp,0.2340060384810574,0.0,0.26186829805374146
eval_000,shallow_0231,20260533,shallow,US,kernel_gp,0.25248908119803737,0.0,0.23912718892097473
eval_000,shallow_0231,20260531,shallow,US,vanilla_3d_diffusion,0.32940112667685817,0.0,0.38185253739356995
eval_000,shallow_0231,20260532,shallow,US,vanilla_3d_diffusion,0.43663965778952907,0.0,0.3958648145198822
eval_000,shallow_0231,20260533,shallow,US,vanilla_3d_diffusion,0.3225544603407986,0.0,0.4035145342350006
eval_000,shallow_0231,20260531,shallow,US,eapp_only_diffusion,0.499540916258157,0.0,0.37349990010261536
eval_000,shallow_0231,20260532,shallow,US,eapp_only_diffusion,0.5916587202011936,0.0,0.41497668623924255
eval_000,shallow_0231,20260533,shallow,US,eapp_only_diffusion,0.3643289716780789,0.0,0.3962908685207367
eval_000,shallow_0231,20260531,shallow,US,dps_inverse_diffusion,0.2445508153975613,0.0,0.18443676829338074
eval_000,shallow_0231,20260532,shallow,US,dps_inverse_diffusion,0.25024949627524684,0.0,0.19216972589492798
eval_000,shallow_0231,20260533,shallow,US,dps_inverse_diffusion,0.10971879082328151,0.0,0.17578871548175812
eval_000,shallow_0231,20260531,shallow,US,op_conditioned_diffusion_ours,0.1299796016753323,0.0,0.16590236127376556
eval_000,shallow_0231,20260532,shallow,US,op_conditioned_diffusion_ours,0.10010158138877223,0.0,0.16033408045768738
eval_000,shallow_0231,20260533,shallow,US,op_conditioned_diffusion_ours,0.0940550478041775,0.0,0.14209461212158203
eval_001,ood_deep_1400,20260531,ood_deep,MMP,direct_scalar_regression,2.5880995343669575,2.061700875614516,1.873600721359253
eval_001,ood_deep_1400,20260532,ood_deep,MMP,direct_scalar_regression,2.1650505612834614,2.061700875614516,1.92220938205719
eval_001,ood_deep_1400,20260533,ood_deep,MMP,direct_scalar_regression,2.673981721256606,2.061700875614516,1.9202263355255127
eval_001,ood_deep_1400,20260531,ood_deep,MMP,unet_3d,1.021743829105727,2.061700875614516,0.08523949235677719
eval_001,ood_deep_1400,20260532,ood_deep,MMP,unet_3d,1.034272248600356,2.061700875614516,0.08427123725414276
eval_001,ood_deep_1400,20260533,ood_deep,MMP,unet_3d,1.011245672847398,2.061700875614516,0.07938786596059799
eval_001,ood_deep_1400,20260531,ood_deep,MMP,kernel_gp,0.6675090242878277,2.061700875614516,0.5109444260597229
eval_001,ood_deep_1400,20260532,ood_deep,MMP,kernel_gp,0.8101635526164692,2.061700875614516,0.5750399231910706
eval_001,ood_deep_1400,20260533,ood_deep,MMP,kernel_gp,0.6375026155964214,2.061700875614516,0.536054790019989
eval_001,ood_deep_1400,20260531,ood_deep,MMP,vanilla_3d_diffusion,0.6057758878215473,2.061700875614516,0.7428262233734131
eval_001,ood_deep_1400,20260532,ood_deep,MMP,vanilla_3d_diffusion,0.10017008080638234,2.061700875614516,0.691283106803894
eval_001,ood_deep_1400,20260533,ood_deep,MMP,vanilla_3d_diffusion,0.5528450559123677,2.061700875614516,0.7142234444618225
eval_001,ood_deep_1400,20260531,ood_deep,MMP,eapp_only_diffusion,0.6301184247478169,2.061700875614516,0.6870626211166382
eval_001,ood_deep_1400,20260532,ood_deep,MMP,eapp_only_diffusion,0.4849386762126606,2.061700875614516,0.7206751704216003
eval_001,ood_deep_1400,20260533,ood_deep,MMP,eapp_only_diffusion,0.14983087286793406,2.061700875614516,0.6274433135986328
eval_001,ood_deep_1400,20260531,ood_deep,MMP,dps_inverse_diffusion,0.7619267056926411,2.061700875614516,0.5084139704704285
eval_001,ood_deep_1400,20260532,ood_deep,MMP,dps_inverse_diffusion,0.5347843717082661,2.061700875614516,0.4635196030139923
eval_001,ood_deep_1400,20260533,ood_deep,MMP,dps_inverse_diffusion,0.7049980710490864,2.061700875614516,0.4941832721233368
eval_001,ood_deep_1400,20260531,ood_deep,MMP,op_conditioned_diffusion_ours,0.23010640845143016,2.061700875614516,0.3637988269329071
eval_001,ood_deep_1400,20260532,ood_deep,MMP,op_conditioned_diffusion_ours,0.14141458764231984,2.061700875614516,0.4293902814388275
eval_001,ood_deep_1400,20260533,ood_deep,MMP,op_conditioned_diffusion_ours,0.3634833742634136,2.061700875614516,0.4032840430736542
eval_001,ood_deep_1400,20260531,ood_deep,PIEZO,direct_scalar_regression,1.1742554257854145,2.061700875614516,2.1857800483703613
eval_001,ood_deep_1400,20260532,ood_deep,PIEZO,direct_scalar_regression,1.387095506046645,2.061700875614516,2.1587324142456055
eval_001,ood_deep_1400,20260533,ood_deep,PIEZO,direct_scalar_regression,0.8538170407756489,2.061700875614516,2.038924217224121
eval_001,ood_deep_1400,20260531,ood_deep,PIEZO,unet_3d,1.3913478304401714,2.061700875614516,0.709973931312561
eval_001,ood_deep_1400,20260532,ood_deep,PIEZO,unet_3d,1.4077500750080425,2.061700875614516,0.7648081183433533
eval_001,ood_deep_1400,20260533,ood_deep,PIEZO,unet_3d,1.390792791988023,2.061700875614516,0.7601754069328308
eval_001,ood_deep_1400,20260531,ood_deep,PIEZO,kernel_gp,0.5944957186237652,2.061700875614516,1.0632542371749878
eval_001,ood_deep_1400,20260532,ood_deep,PIEZO,kernel_gp,0.9655074526325542,2.061700875614516,0.881761372089386
eval_001,ood_deep_1400,20260533,ood_deep,PIEZO,kernel_gp,0.8391990114704448,2.061700875614516,0.8832173347473145
eval_001,ood_deep_1400,20260531,ood_deep,PIEZO,vanilla_3d_diffusion,0.6298560549274761,2.061700875614516,0.7463293671607971
eval_001,ood_deep_1400,20260532,ood_deep,PIEZO,vanilla_3d_diffusion,1.8374157498820942,2.061700875614516,1.1021301746368408
eval_001,ood_deep_1400,20260533,ood_deep,PIEZO,vanilla_3d_diffusion,1.0884618212238628,2.061700875614516,0.5334585309028625
