operator,method,seed_id,coverage_fraction,risk_mae_mm,oracle_risk_mae_mm
MMP,direct_scalar_regression,20260531,0.2,1.768741032190605,0.2917702526592826
MMP,direct_scalar_regression,20260531,0.25,1.7246390690485942,0.36110988451258136
MMP,direct_scalar_regression,20260531,0.30000000000000004,1.596647585556062,0.43997890645762244
MMP,direct_scalar_regression,20260531,0.35000000000000003,1.5070875257152743,0.515378910000484
MMP,direct_scalar_regression,20260531,0.4,1.3942932581738292,0.5877979537955567
MMP,direct_scalar_regression,20260531,0.45,1.325310353484223,0.663353579030369
MMP,direct_scalar_regression,20260531,0.5,1.2557921007696122,0.7306379114485061
MMP,direct_scalar_regression,20260531,0.55,1.1836585835118283,0.7962914209451475
MMP,direct_scalar_regression,20260531,0.6000000000000001,1.1592080342653688,0.8646511967770166
MMP,direct_scalar_regression,20260531,0.65,1.144743151450372,0.9247712759524184
MMP,direct_scalar_regression,20260531,0.7,1.1737462646901582,0.9832483821341713
MMP,direct_scalar_regression,20260531,0.75,1.1861884022831062,1.048280210546554
MMP,direct_scalar_regression,20260531,0.8,1.1903168905015777,1.106390223015219
MMP,direct_scalar_regression,20260531,0.8500000000000001,1.2217653103831776,1.1655972638999899
MMP,direct_scalar_regression,20260531,0.9000000000000001,1.3074326326854753,1.2299441475400668
MMP,direct_scalar_regression,20260531,0.95,1.3797993111091387,1.3189164985723865
MMP,direct_scalar_regression,20260531,1.0,1.414016397971746,1.414016397971746
MMP,direct_scalar_regression,20260532,0.2,1.7679641134021586,0.2560353179735422
MMP,direct_scalar_regression,20260532,0.25,1.7049670894934665,0.3271369849985232
MMP,direct_scalar_regression,20260532,0.30000000000000004,1.5746082618532817,0.4079148843121941
MMP,direct_scalar_regression,20260532,0.35000000000000003,1.4590569995939815,0.47366957901697176
MMP,direct_scalar_regression,20260532,0.4,1.3336483200459954,0.5437454174815465
MMP,direct_scalar_regression,20260532,0.45,1.2521501100870025,0.6233903563649699
MMP,direct_scalar_regression,20260532,0.5,1.1978307969783675,0.6883056429075011
MMP,direct_scalar_regression,20260532,0.55,1.1589381018380767,0.7535137950548554
MMP,direct_scalar_regression,20260532,0.6000000000000001,1.1315137363359467,0.826223793055143
MMP,direct_scalar_regression,20260532,0.65,1.109507114830776,0.8886708535052085
MMP,direct_scalar_regression,20260532,0.7,1.119486094057048,0.950567853013497
MMP,direct_scalar_regression,20260532,0.75,1.142114308595161,1.0168773092233274
MMP,direct_scalar_regression,20260532,0.8,1.1600200172248463,1.075132890355843
MMP,direct_scalar_regression,20260532,0.8500000000000001,1.1998542882657846,1.1376300753413464
MMP,direct_scalar_regression,20260532,0.9000000000000001,1.2609080502914163,1.208378078054173
MMP,direct_scalar_regression,20260532,0.95,1.3394227628932307,1.297991300344428
MMP,direct_scalar_regression,20260532,1.0,1.392232237079524,1.3922322370795241
MMP,direct_scalar_regression,20260533,0.2,1.7792282687423437,0.2652328294077392
MMP,direct_scalar_regression,20260533,0.25,1.7175707296369729,0.3279373283868371
MMP,direct_scalar_regression,20260533,0.30000000000000004,1.624266266953335,0.4019323279583028
MMP,direct_scalar_regression,20260533,0.35000000000000003,1.4905158227668063,0.4697202427857647
MMP,direct_scalar_regression,20260533,0.4,1.401384362068337,0.5396886657861404
MMP,direct_scalar_regression,20260533,0.45,1.2965433347635533,0.6182524457279263
MMP,direct_scalar_regression,20260533,0.5,1.2048213204529343,0.6854649366635088
MMP,direct_scalar_regression,20260533,0.55,1.1502002426396825,0.7505001435971153
MMP,direct_scalar_regression,20260533,0.6000000000000001,1.1199084031628623,0.8214019299435035
MMP,direct_scalar_regression,20260533,0.65,1.1042278201346418,0.8832639851108958
MMP,direct_scalar_regression,20260533,0.7,1.1174156331474308,0.9433773648704538
MMP,direct_scalar_regression,20260533,0.75,1.1426444342065372,1.0082870973731384
MMP,direct_scalar_regression,20260533,0.8,1.1619107955325116,1.0660599100544117
MMP,direct_scalar_regression,20260533,0.8500000000000001,1.1858439030874384,1.12483095870764
MMP,direct_scalar_regression,20260533,0.9000000000000001,1.2501374239150191,1.1916956718280904
MMP,direct_scalar_regression,20260533,0.95,1.3207139582974834,1.2782175282296424
MMP,direct_scalar_regression,20260533,1.0,1.3709866908291488,1.3709866908291488
MMP,unet_3d,20260531,0.2,0.4425281210399924,0.37593946480723306
MMP,unet_3d,20260531,0.25,0.4456124849902871,0.38983404685262085
MMP,unet_3d,20260531,0.30000000000000004,0.45298057499040745,0.40371627522468084
MMP,unet_3d,20260531,0.35000000000000003,0.4601906544153259,0.41628419201945466
MMP,unet_3d,20260531,0.4,0.47061874835111883,0.4287714393147351
MMP,unet_3d,20260531,0.45,0.4838978909216106,0.44250801661987943
MMP,unet_3d,20260531,0.5,0.49520277627869647,0.4548895541645806
MMP,unet_3d,20260531,0.55,0.5081185068549048,0.4671494676960079
MMP,unet_3d,20260531,0.6000000000000001,0.5237549924973698,0.4813138153626924
MMP,unet_3d,20260531,0.65,0.5324392232661572,0.4934382941313322
MMP,unet_3d,20260531,0.7,0.5434436091800159,0.5054362049286135
MMP,unet_3d,20260531,0.75,0.5594374386876079,0.5188510126066709
MMP,unet_3d,20260531,0.8,0.5776847773780078,0.5320732088908434
MMP,unet_3d,20260531,0.8500000000000001,0.5984059820985501,0.5471377882961128
MMP,unet_3d,20260531,0.9000000000000001,0.6253356331973958,0.5652887841054667
MMP,unet_3d,20260531,0.95,0.625948591673233,0.5907164545091999
MMP,unet_3d,20260531,1.0,0.6184215412552794,0.6184215412552794
MMP,unet_3d,20260532,0.2,0.4339033343817424,0.3997371854146864
MMP,unet_3d,20260532,0.25,0.4385704584880657,0.4098684438998242
MMP,unet_3d,20260532,0.30000000000000004,0.44862197259058506,0.42092986642976743
MMP,unet_3d,20260532,0.35000000000000003,0.46067133702326496,0.4317768811965654
MMP,unet_3d,20260532,0.4,0.47443977398076476,0.44322821660607753
MMP,unet_3d,20260532,0.45,0.4869735801334798,0.4555927836837601
MMP,unet_3d,20260532,0.5,0.4993069677671881,0.46677228760833744
MMP,unet_3d,20260532,0.55,0.5122067022878695,0.47811845440543244
MMP,unet_3d,20260532,0.6000000000000001,0.5277414555759659,0.49104038769926195
MMP,unet_3d,20260532,0.65,0.5382022775656697,0.5025898550968831
MMP,unet_3d,20260532,0.7,0.5521564209539482,0.5136966494249311
MMP,unet_3d,20260532,0.75,0.5685356423002188,0.526413044046272
MMP,unet_3d,20260532,0.8,0.5855628459439901,0.5399578758644665
MMP,unet_3d,20260532,0.8500000000000001,0.6104365433341512,0.5556858967363181
MMP,unet_3d,20260532,0.9000000000000001,0.6377788191505823,0.575275599986616
MMP,unet_3d,20260532,0.95,0.6396578224761647,0.6028750452618519
MMP,unet_3d,20260532,1.0,0.6303807381131615,0.6303807381131614
MMP,unet_3d,20260533,0.2,0.45168602161958565,0.37740199389329393
MMP,unet_3d,20260533,0.25,0.4512832343776946,0.39071996245221624
MMP,unet_3d,20260533,0.30000000000000004,0.45801679591164274,0.40531049001251407
MMP,unet_3d,20260533,0.35000000000000003,0.46666185733586835,0.4182726854433837
MMP,unet_3d,20260533,0.4,0.47681356676374076,0.4313748988917715
MMP,unet_3d,20260533,0.45,0.4912820752032421,0.4455977899733461
MMP,unet_3d,20260533,0.5,0.5023006486661514,0.4581798832870904
MMP,unet_3d,20260533,0.55,0.5138897817101464,0.4705352596159943
MMP,unet_3d,20260533,0.6000000000000001,0.5284185330582262,0.4844009155627741
MMP,unet_3d,20260533,0.65,0.5396894425649613,0.49665438871964157
MMP,unet_3d,20260533,0.7,0.5519389891005985,0.5084659305822472
MMP,unet_3d,20260533,0.75,0.5655911863446854,0.522102969497121
MMP,unet_3d,20260533,0.8,0.5838650933537065,0.5355653975883086
MMP,unet_3d,20260533,0.8500000000000001,0.605437906180262,0.5515515686204834
MMP,unet_3d,20260533,0.9000000000000001,0.6342086289010956,0.5699526506939067
MMP,unet_3d,20260533,0.95,0.6348854304520989,0.5962746801550344
MMP,unet_3d,20260533,1.0,0.6246562502648261,0.6246562502648261
MMP,kernel_gp,20260531,0.2,0.2973416614093822,0.26725705996004473
MMP,kernel_gp,20260531,0.25,0.30421820070090067,0.2780390016697369
MMP,kernel_gp,20260531,0.30000000000000004,0.31450091468113833,0.2898149860613488
MMP,kernel_gp,20260531,0.35000000000000003,0.3224634847476989,0.3001154521906998
MMP,kernel_gp,20260531,0.4,0.33275560386174374,0.30982845121415037
MMP,kernel_gp,20260531,0.45,0.34467982437194145,0.3204015394958963
MMP,kernel_gp,20260531,0.5,0.35022932950258057,0.3297700435162459
MMP,kernel_gp,20260531,0.55,0.3562475784849416,0.33973354236905573
MMP,kernel_gp,20260531,0.6000000000000001,0.3644862547877254,0.35088068988906346
MMP,kernel_gp,20260531,0.65,0.3718403830566868,0.36104036733829425
MMP,kernel_gp,20260531,0.7,0.3804975385231516,0.3712298336001329
MMP,kernel_gp,20260531,0.75,0.3899903941470202,0.38301010535948504
MMP,kernel_gp,20260531,0.8,0.40304502176390355,0.39447435257459756
MMP,kernel_gp,20260531,0.8500000000000001,0.41726037527213217,0.4068488807180168
MMP,kernel_gp,20260531,0.9000000000000001,0.4336572154337677,0.4208320950428668
MMP,kernel_gp,20260531,0.95,0.45664648497141536,0.44122010658479005
MMP,kernel_gp,20260531,1.0,0.4673820322424461,0.4673820322424461
MMP,kernel_gp,20260532,0.2,0.3043871907308498,0.2775287008583417
MMP,kernel_gp,20260532,0.25,0.3092838467018895,0.28959890264505306
MMP,kernel_gp,20260532,0.30000000000000004,0.31683207960723425,0.3013428687873222
MMP,kernel_gp,20260532,0.35000000000000003,0.3295611217435544,0.31090768135473756
MMP,kernel_gp,20260532,0.4,0.342405835008207,0.3204540463726485
MMP,kernel_gp,20260532,0.45,0.35356367168692016,0.33118169903146893
MMP,kernel_gp,20260532,0.5,0.3665191803252773,0.34146832154659823
MMP,kernel_gp,20260532,0.55,0.3767261232712733,0.3517868728336192
MMP,kernel_gp,20260532,0.6000000000000001,0.38575220270065774,0.3643100404344904
MMP,kernel_gp,20260532,0.65,0.39020143997576584,0.37557132451678443
MMP,kernel_gp,20260532,0.7,0.39845825840305327,0.3861703932347231
MMP,kernel_gp,20260532,0.75,0.4095752655815551,0.3980920582287873
MMP,kernel_gp,20260532,0.8,0.41837676577979127,0.4093934820153973
MMP,kernel_gp,20260532,0.8500000000000001,0.4321426886323654,0.4209749018200272
MMP,kernel_gp,20260532,0.9000000000000001,0.4516798554320721,0.4345889066157558
MMP,kernel_gp,20260532,0.95,0.465372585295,0.45403300501902655
MMP,kernel_gp,20260532,1.0,0.4750919600450988,0.4750919600450988
MMP,kernel_gp,20260533,0.2,0.2998236904909284,0.2617986051482715
