target,descriptor,abs_spearman
z_top,area_frac,0.011109458746953843
z_top,perimeter_norm,0.0056763744121813165
z_top,equivalent_diameter_norm,0.011109458746953843
z_top,aspect_ratio,0.011553959205764932
z_top,eccentricity,0.011553959205764932
z_top,solidity,0.011779400578546503
z_top,compactness,0.011779400578546503
z_top,extent,0.011438991999330418
z_top,convexity,0.011779400578546503
z_top,major_axis_norm,0.011109458746953843
z_top,minor_axis_norm,0.011109458746953843
z_top,boundary_curvature_mean,0.011779400578546503
z_top,boundary_curvature_std,0.011779400578546503
z_top,fractal_dimension,0.011304447708151769
z_top,asymmetry_score,0.011438991999330418
z_top,number_of_components,0.0
z_bottom,area_frac,0.0024106020518220076
z_bottom,perimeter_norm,0.007692928243842976
z_bottom,equivalent_diameter_norm,0.0024106020518220076
z_bottom,aspect_ratio,0.001872308913549796
z_bottom,eccentricity,0.001872308913549796
z_bottom,solidity,0.0020696472745603176
z_bottom,compactness,0.0020696472745603176
z_bottom,extent,0.002325529835678019
z_bottom,convexity,0.0020696472745603176
z_bottom,major_axis_norm,0.0024106020518220076
z_bottom,minor_axis_norm,0.0024106020518220076
z_bottom,boundary_curvature_mean,0.0020696472745603176
z_bottom,boundary_curvature_std,0.0020696472745603176
z_bottom,fractal_dimension,0.0023224958177671673
z_bottom,asymmetry_score,0.002325529835678019
z_bottom,number_of_components,0.0
thickness,area_frac,0.012303303642966565
thickness,perimeter_norm,0.023448381236442262
thickness,equivalent_diameter_norm,0.012303303642966565
thickness,aspect_ratio,0.014068395002489157
thickness,eccentricity,0.014068395002489157
thickness,solidity,0.01406612790649165
thickness,compactness,0.01406612790649165
thickness,extent,0.013075870849812604
thickness,convexity,0.01406612790649165
thickness,major_axis_norm,0.012303303642966565
thickness,minor_axis_norm,0.012303303642966565
thickness,boundary_curvature_mean,0.01406612790649165
thickness,boundary_curvature_std,0.01406612790649165
thickness,fractal_dimension,0.012750972798658654
thickness,asymmetry_score,0.013075870849812604
thickness,number_of_components,0.0
E_bg,area_frac,0.011699085148806519
E_bg,perimeter_norm,0.021034593652867983
E_bg,equivalent_diameter_norm,0.011699085148806519
E_bg,aspect_ratio,0.013737881586496501
E_bg,eccentricity,0.013737881586496501
E_bg,solidity,0.013678611616383519
E_bg,compactness,0.013678611616383519
E_bg,extent,0.012805061369503414
E_bg,convexity,0.013678611616383519
E_bg,major_axis_norm,0.011699085148806519
E_bg,minor_axis_norm,0.011699085148806519
E_bg,boundary_curvature_mean,0.013678611616383519
E_bg,boundary_curvature_std,0.013678611616383519
E_bg,fractal_dimension,0.0120224718026288
E_bg,asymmetry_score,0.012805061369503414
E_bg,number_of_components,0.0
E_lesion,area_frac,0.04983041836339815
E_lesion,perimeter_norm,0.007500833009961997
E_lesion,equivalent_diameter_norm,0.04983041836339815
E_lesion,aspect_ratio,0.05084480540222886
E_lesion,eccentricity,0.05084480540222886
E_lesion,solidity,0.05094651047118622
E_lesion,compactness,0.05094651047118622
E_lesion,extent,0.05017593726131489
E_lesion,convexity,0.05094651047118622
E_lesion,major_axis_norm,0.04983041836339815
E_lesion,minor_axis_norm,0.04983041836339815
E_lesion,boundary_curvature_mean,0.05094651047118622
E_lesion,boundary_curvature_std,0.05094651047118622
E_lesion,fractal_dimension,0.050237088995927444
E_lesion,asymmetry_score,0.05017593726131489
E_lesion,number_of_components,0.0
contrast,area_frac,0.048524672078063054
contrast,perimeter_norm,0.018032358108429836
contrast,equivalent_diameter_norm,0.048524672078063054
contrast,aspect_ratio,0.04858784399722785
contrast,eccentricity,0.04858784399722785
contrast,solidity,0.04873068226831816
contrast,compactness,0.04873068226831816
contrast,extent,0.04829882666837103
contrast,convexity,0.04873068226831816
contrast,major_axis_norm,0.048524672078063054
contrast,minor_axis_norm,0.048524672078063054
contrast,boundary_curvature_mean,0.04873068226831816
contrast,boundary_curvature_std,0.04873068226831816
contrast,fractal_dimension,0.04882972742761508
contrast,asymmetry_score,0.04829882666837103
contrast,number_of_components,0.0
