parameter,bin_left,bin_right,count
z_bottom_mm,1.1002742046700635,1.5957932853086576,104
z_bottom_mm,1.5957932853086576,2.0913123659472515,100
z_bottom_mm,2.0913123659472515,2.5868314465858457,105
z_bottom_mm,2.5868314465858457,3.0823505272244396,97
z_bottom_mm,3.0823505272244396,3.5778696078630334,51
z_bottom_mm,3.5778696078630334,4.073388688501628,55
z_bottom_mm,4.073388688501628,4.568907769140222,43
z_bottom_mm,4.568907769140222,5.064426849778815,43
z_bottom_mm,5.064426849778815,5.55994593041741,44
z_bottom_mm,5.55994593041741,6.055465011056004,57
z_bottom_mm,6.055465011056004,6.550984091694598,50
z_bottom_mm,6.550984091694598,7.046503172333192,55
z_bottom_mm,7.046503172333192,7.542022252971786,46
z_bottom_mm,7.542022252971786,8.03754133361038,50
z_bottom_mm,8.03754133361038,8.533060414248974,45
z_bottom_mm,8.533060414248974,9.028579494887568,66
z_bottom_mm,9.028579494887568,9.52409857552616,38
z_bottom_mm,9.52409857552616,10.019617656164755,44
z_bottom_mm,10.019617656164755,10.515136736803349,60
z_bottom_mm,10.515136736803349,11.010655817441943,47
z_bottom_mm,11.010655817441943,11.506174898080538,46
z_bottom_mm,11.506174898080538,12.001693978719132,50
z_bottom_mm,12.001693978719132,12.497213059357724,50
z_bottom_mm,12.497213059357724,12.992732139996319,56
z_bottom_mm,12.992732139996319,13.488251220634913,49
z_bottom_mm,13.488251220634913,13.983770301273507,48
z_bottom_mm,13.983770301273507,14.479289381912102,48
z_bottom_mm,14.479289381912102,14.974808462550696,53
thickness_mm,0.6374705179198958,0.8245791591891504,14
thickness_mm,0.8245791591891504,1.011687800458405,34
thickness_mm,1.011687800458405,1.1987964417276593,50
thickness_mm,1.1987964417276593,1.385905082996914,66
thickness_mm,1.385905082996914,1.5730137242661684,62
thickness_mm,1.5730137242661684,1.7601223655354228,91
thickness_mm,1.7601223655354228,1.9472310068046774,90
thickness_mm,1.9472310068046774,2.134339648073932,100
thickness_mm,2.134339648073932,2.321448289343186,107
thickness_mm,2.321448289343186,2.508556930612441,125
thickness_mm,2.508556930612441,2.6956655718816953,109
thickness_mm,2.6956655718816953,2.8827742131509497,100
thickness_mm,2.8827742131509497,3.069882854420204,108
thickness_mm,3.069882854420204,3.256991495689459,98
thickness_mm,3.256991495689459,3.4441001369587134,93
thickness_mm,3.4441001369587134,3.631208778227968,81
thickness_mm,3.631208778227968,3.8183174194972223,66
thickness_mm,3.8183174194972223,4.005426060766476,61
thickness_mm,4.005426060766476,4.192534702035731,37
thickness_mm,4.192534702035731,4.379643343304986,29
thickness_mm,4.379643343304986,4.566751984574241,18
thickness_mm,4.566751984574241,4.753860625843495,26
thickness_mm,4.753860625843495,4.94096926711275,18
thickness_mm,4.94096926711275,5.128077908382004,5
thickness_mm,5.128077908382004,5.3151865496512585,4
thickness_mm,5.3151865496512585,5.5022951909205124,3
thickness_mm,5.5022951909205124,5.689403832189767,2
thickness_mm,5.689403832189767,5.876512473459022,3
log10_contrast_x,0.08082295726438476,0.12267740751588424,30
log10_contrast_x,0.12267740751588424,0.16453185776738372,38
log10_contrast_x,0.16453185776738372,0.20638630801888316,43
log10_contrast_x,0.20638630801888316,0.24824075827038264,52
log10_contrast_x,0.24824075827038264,0.2900952085218821,57
log10_contrast_x,0.2900952085218821,0.33194965877338156,81
log10_contrast_x,0.33194965877338156,0.37380410902488104,88
log10_contrast_x,0.37380410902488104,0.4156585592763805,96
log10_contrast_x,0.4156585592763805,0.45751300952788,104
log10_contrast_x,0.45751300952788,0.49936745977937946,113
log10_contrast_x,0.49936745977937946,0.5412219100308789,117
log10_contrast_x,0.5412219100308789,0.5830763602823783,106
log10_contrast_x,0.5830763602823783,0.6249308105338778,99
log10_contrast_x,0.6249308105338778,0.6667852607853773,109
log10_contrast_x,0.6667852607853773,0.7086397110368767,89
log10_contrast_x,0.7086397110368767,0.7504941612883762,61
log10_contrast_x,0.7504941612883762,0.7923486115398757,70
log10_contrast_x,0.7923486115398757,0.8342030617913752,53
log10_contrast_x,0.8342030617913752,0.8760575120428746,47
log10_contrast_x,0.8760575120428746,0.9179119622943741,42
log10_contrast_x,0.9179119622943741,0.9597664125458736,29
log10_contrast_x,0.9597664125458736,1.001620862797373,19
log10_contrast_x,1.001620862797373,1.0434753130488725,17
log10_contrast_x,1.0434753130488725,1.085329763300372,13
log10_contrast_x,1.085329763300372,1.1271842135518715,11
log10_contrast_x,1.1271842135518715,1.169038663803371,6
log10_contrast_x,1.169038663803371,1.2108931140548704,7
log10_contrast_x,1.2108931140548704,1.25274756430637,3
log_layer_modulus_variation,-0.612404209973964,-0.5704324926463471,1
log_layer_modulus_variation,-0.5704324926463471,-0.5284607753187301,1
log_layer_modulus_variation,-0.5284607753187301,-0.4864890579911132,3
log_layer_modulus_variation,-0.4864890579911132,-0.44451734066349624,6
log_layer_modulus_variation,-0.44451734066349624,-0.4025456233358793,10
log_layer_modulus_variation,-0.4025456233358793,-0.36057390600826233,20
log_layer_modulus_variation,-0.36057390600826233,-0.3186021886806454,28
log_layer_modulus_variation,-0.3186021886806454,-0.27663047135302843,32
log_layer_modulus_variation,-0.27663047135302843,-0.23465875402541148,54
log_layer_modulus_variation,-0.23465875402541148,-0.19268703669779452,80
log_layer_modulus_variation,-0.19268703669779452,-0.15071531937017757,83
log_layer_modulus_variation,-0.15071531937017757,-0.10874360204256062,101
log_layer_modulus_variation,-0.10874360204256062,-0.06677188471494366,122
log_layer_modulus_variation,-0.06677188471494366,-0.02480016738732671,163
log_layer_modulus_variation,-0.02480016738732671,0.017171549940290243,131
log_layer_modulus_variation,0.017171549940290243,0.059143267267907196,150
log_layer_modulus_variation,0.059143267267907196,0.10111498459552415,127
log_layer_modulus_variation,0.10111498459552415,0.1430867019231411,108
log_layer_modulus_variation,0.1430867019231411,0.18505841925075805,109
log_layer_modulus_variation,0.18505841925075805,0.227030136578375,85
log_layer_modulus_variation,0.227030136578375,0.26900185390599196,74
log_layer_modulus_variation,0.26900185390599196,0.3109735712336089,40
log_layer_modulus_variation,0.3109735712336089,0.35294528856122587,37
log_layer_modulus_variation,0.35294528856122587,0.3949170058888428,15
log_layer_modulus_variation,0.3949170058888428,0.4368887232164599,11
log_layer_modulus_variation,0.4368887232164599,0.4788604405440767,5
log_layer_modulus_variation,0.4788604405440767,0.5208321578716936,3
log_layer_modulus_variation,0.5208321578716936,0.5628038751993107,1
readout_noise_rel,0.005122283364956438,0.007768689234715771,14
readout_noise_rel,0.007768689234715771,0.010415095104475103,31
readout_noise_rel,0.010415095104475103,0.013061500974234436,37
readout_noise_rel,0.013061500974234436,0.015707906843993768,45
readout_noise_rel,0.015707906843993768,0.0183543127137531,51
readout_noise_rel,0.0183543127137531,0.021000718583512434,66
readout_noise_rel,0.021000718583512434,0.023647124453271766,88
readout_noise_rel,0.023647124453271766,0.026293530323031097,80
readout_noise_rel,0.026293530323031097,0.02893993619279043,107
readout_noise_rel,0.02893993619279043,0.03158634206254976,119
readout_noise_rel,0.03158634206254976,0.0342327479323091,111
readout_noise_rel,0.0342327479323091,0.03687915380206843,121
readout_noise_rel,0.03687915380206843,0.03952555967182776,120
readout_noise_rel,0.03952555967182776,0.04217196554158709,113
readout_noise_rel,0.04217196554158709,0.044818371411346425,97
readout_noise_rel,0.044818371411346425,0.047464777281105756,90
readout_noise_rel,0.047464777281105756,0.05011118315086509,78
readout_noise_rel,0.05011118315086509,0.05275758902062442,58
readout_noise_rel,0.05275758902062442,0.05540399489038375,47
readout_noise_rel,0.05540399489038375,0.05805040076014308,35
readout_noise_rel,0.05805040076014308,0.06069680662990242,26
readout_noise_rel,0.06069680662990242,0.06334321249966175,19
readout_noise_rel,0.06334321249966175,0.06598961836942108,14
readout_noise_rel,0.06598961836942108,0.06863602423918042,16
readout_noise_rel,0.06863602423918042,0.07128243010893975,5
readout_noise_rel,0.07128243010893975,0.07392883597869909,7
readout_noise_rel,0.07392883597869909,0.0765752418484584,3
readout_noise_rel,0.0765752418484584,0.07922164771821774,2
