figure,dimension,device,device_label,model,model_label,MAE_metric,MAE_at_min_N,MAE_at_max_N,MAE_N90,MAE_N90_reached,MAE_N90_source,MAE_N95,MAE_N95_reached,MAE_N95_source,MAE_AULC,MAE_last_doubling_gain_fraction,MAE_seed_sd_at_max_N,MAE_seed_sd_fraction_at_max_N,MAE_m_inf,MAE_power_a,MAE_power_alpha,MAE_fit_rmse,CRPS_metric,CRPS_at_min_N,CRPS_at_max_N,CRPS_N90,CRPS_N90_reached,CRPS_N90_source,CRPS_N95,CRPS_N95_reached,CRPS_N95_source,CRPS_AULC,CRPS_last_doubling_gain_fraction,CRPS_seed_sd_at_max_N,CRPS_seed_sd_fraction_at_max_N,CRPS_m_inf,CRPS_power_a,CRPS_power_alpha,CRPS_fit_rmse,calibrated_score_metric,calibrated_score_at_min_N,calibrated_score_at_max_N,calibrated_score_N90,calibrated_score_N90_reached,calibrated_score_N90_source,calibrated_score_N95,calibrated_score_N95_reached,calibrated_score_N95_source,calibrated_score_AULC,calibrated_score_last_doubling_gain_fraction,calibrated_score_seed_sd_at_max_N,calibrated_score_seed_sd_fraction_at_max_N,calibrated_score_m_inf,calibrated_score_power_a,calibrated_score_power_alpha,calibrated_score_fit_rmse,DER_MAE,DER_MAE_note,DER_CRPS,DER_CRPS_note,DER_calibrated_score,DER_calibrated_score_note,priority1_plateau_pass,priority1_strict_plateau_pass,priority1_seed_sd_pass,max_requested_N,priority1_current_N_ge_N90,unique_source_cases_available,unique_source_cases_ge_N90,claim_data_efficiency_pass_DER_CRPS_ge2
Figure 3,3D,PIEZO,sheet piezo,unet_3d,3D U-Net,mae_zbottom_mm,1.2021244048204955,1.0189516325456969,1600.0,True,observed,3000.0,True,observed,1.062381797759614,0.005872153572853684,0.006826831607851199,0.00669985835421392,0.9985725998947829,1.7104821922043618,0.5306326837959199,0.022842390428939617,crps_zbottom_mm,1.217214617691931,1.0090699805593395,1000.0,True,observed,3000.0,True,observed,1.0525838748230831,0.0028931074469637505,0.007374962476740876,0.007308672955123337,0.9888885809481527,2.0890879904965223,0.5688157536833047,0.03047186081618204,calibrated_score,2.910638109580578,2.4035631044467345,1000.0,True,observed,1600.0,True,observed,2.504123426058019,0.002213166381541541,0.024829073960722068,0.01033011112326812,2.3554918423577997,5.20318629031015,0.5825289575175016,0.08152873397117431,1.6,observed,4.0,observed,4.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,PIEZO,sheet piezo,dps_inverse_diffusion,DPS inverse diffusion,mae_zbottom_mm,0.47494114132095283,0.4328223523067227,1000.0,True,observed,1000.0,True,observed,0.44020058253564737,-0.002696003592502156,0.01682991232132032,0.03888411084045327,0.42146657774198004,0.21167014534568934,0.38807474352065213,0.007466577086223719,crps_zbottom_mm,0.3491131193124642,0.3331134489016989,1000.0,True,observed,1000.0,True,observed,0.33665836833676666,0.0013914190574867388,0.010290789824548792,0.03089274797663778,0.3260418199179627,0.06275164593431724,0.27778640344946937,0.002495702150485956,calibrated_score,1.499463395205355,1.3204130917033694,500.0,True,observed,500.0,True,observed,1.3483724873555512,0.0015990072762156278,0.0684592706332203,0.05184685842890723,1.2346612829999268,0.5771417003779235,0.2536168709664537,0.03713566992381418,1.0,observed,4.0,observed,2.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,PIEZO,sheet piezo,eapp_only_diffusion,Eapp-only diffusion,mae_zbottom_mm,0.8035210430805672,0.7330512388420836,3000.0,True,observed,5000.0,True,observed,0.7584738940896483,0.006422197999030957,0.009293038242981631,0.012677201470473977,0.7183902140652418,0.5803211126858002,0.42490128015236756,0.0023568014694585527,crps_zbottom_mm,0.5855050202074237,0.5366389352833738,3000.0,True,observed,5000.0,True,observed,0.5539914205810176,0.005396366336759334,0.005768487529370339,0.01074928997897678,0.5259061565777063,0.3797354046619724,0.4131963037336463,0.0021028588897135905,calibrated_score,2.498695227556609,2.349270150537485,3000.0,True,observed,5000.0,True,observed,2.4063328320905804,0.003745004108102862,0.011743768189314878,0.004998900695447071,2.302284747526735,1.1087690174844906,0.375773937935187,0.0030942854978446943,3.0,observed,12.0,observed,12.0,observed,True,True,True,5000,True,1600,False,True
Figure 3,3D,PIEZO,sheet piezo,SRCNN_3D_proxy,SRCNN 3D proxy,mae_zbottom_mm,1.2056882200513457,1.0189516325456969,1000.0,True,observed,3000.0,True,observed,1.0701242101960249,0.004272993553284378,0.005189582961220809,0.005093061138000652,0.9985725998947829,2.5935528445012133,0.583922196117888,0.012820562870338432,crps_zbottom_mm,1.1958785419394344,1.0090699805593395,1000.0,True,observed,1000.0,True,observed,1.0524704930238182,0.004225682914361538,0.00398709346805698,0.003951255656071432,0.9888885809481527,2.1355756961776007,0.5743277550985992,0.022061306466883136,calibrated_score,3.1399797783871146,2.6482751391915724,1000.0,True,observed,3000.0,True,observed,2.7881303176863605,0.0033605038690081106,0.03995497861076985,0.015087170520721173,2.595309636407741,7.938951176668504,0.6054486770889577,0.023112318810210575,1.0,observed,4.0,observed,4.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,PIEZO,sheet piezo,direct_scalar_regression,direct scalar regression,mae_zbottom_mm,1.2899627093226729,1.090173717158348,1000.0,True,observed,3000.0,True,observed,1.1449231256795913,0.004272993553284237,0.00555232139252886,0.005093061138000617,1.0683702428151811,2.774835482693735,0.583922196117889,0.01371668706737388,crps_zbottom_mm,0.920051968878434,0.7763303628177002,1000.0,True,observed,1000.0,True,observed,0.809720649157748,0.004225682914361646,0.0030674797370633475,0.0039512556560713325,0.7608037555613462,1.6430101846050518,0.5743277550985989,0.01697291801721642,calibrated_score,3.1399797783871146,2.6482751391915724,1000.0,True,observed,3000.0,True,observed,2.7881303176863605,0.0033605038690081106,0.03995497861076985,0.015087170520721173,2.595309636407741,7.938951176668504,0.6054486770889577,0.023112318810210575,1.0,observed,4.0,observed,4.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,PIEZO,sheet piezo,kernel_gp,kernel GP,mae_zbottom_mm,0.732881805406968,0.60497265709706,3000.0,True,observed,5000.0,True,observed,0.6501312796127879,0.015932932611524245,0.011003110305755084,0.018187781177670278,0.5881452663828477,1.534954380990612,0.5153267608940957,0.0028333305989057455,crps_zbottom_mm,0.5537255574660295,0.4476579837877796,3000.0,True,observed,5000.0,True,observed,0.48321139236413374,0.017411117536027386,0.006469783970901151,0.014452515548048998,0.438704824112024,1.7942687279953513,0.5979460062967655,0.002837331441260186,calibrated_score,2.150717475505814,1.7259225750675802,3000.0,True,observed,5000.0,True,observed,1.861967009605184,0.01488876180044229,0.025049415110378975,0.014513637791311781,1.6914041235662285,7.63665615165644,0.6160302036273924,0.017693822249495554,3.0,observed,12.0,observed,12.0,observed,True,True,True,5000,True,1600,False,True
Figure 3,3D,PIEZO,sheet piezo,op_conditioned_diffusion_ours,operator-conditioned diffusion,mae_zbottom_mm,0.6503711284797222,0.6124657447371915,1000.0,True,observed,1000.0,True,observed,0.6194041440269225,-0.0016034490927044238,0.011894742709431664,0.019421074258668437,0.5992555540679793,0.1395646804155048,0.30298252109736973,0.007157488260767075,crps_zbottom_mm,0.3610942408572186,0.3331140802618339,250.0,True,observed,1000.0,True,observed,0.3378687410009795,-0.002039572366640157,0.0052135803034475394,0.015651035523174425,0.3257873318172214,0.104409457534888,0.34108646394419806,0.005690840454857144,calibrated_score,3.54230818354126,3.2485835428961365,250.0,True,observed,250.0,True,observed,3.3146621847167297,-0.0016362753078012513,0.10786215610825532,0.03320282661165469,3.1023712689160927,0.8303678215676655,0.2112292514051648,0.06407954029656976,1.0,observed,1.0,observed,1.0,observed,True,True,True,5000,True,1600,True,False
Figure 3,3D,PIEZO,sheet piezo,vanilla_3d_diffusion,vanilla 3D diffusion,mae_zbottom_mm,0.6292619737990109,0.6173157425889539,1000.0,True,observed,1000.0,True,observed,0.6209352537092006,-0.0071592688263788515,0.025597460374308125,0.041465750196091236,0.600669076343936,0.07039869181921377,0.19498248100029525,0.0031233170766745595,crps_zbottom_mm,0.4592727751138215,0.4450285579125039,1000.0,True,observed,1000.0,True,observed,0.44866356978512434,-0.01094335862492596,0.02215022442917596,0.049772591073876354,0.4314069458327223,0.0866719664356202,0.253804669955949,0.00276710770507222,calibrated_score,3.7435318321899196,3.4688801263249864,1000.0,True,observed,1000.0,True,observed,3.5305342535123265,-0.023856717051119625,0.2790204408025759,0.08043530783468633,3.320291274339273,1.9500358550308985,0.35475885141287145,0.050862512799695496,1.0,observed,4.0,observed,4.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,MMP,soft MMP,unet_3d,3D U-Net,mae_zbottom_mm,0.7816436688478876,0.6349338225937715,1000.0,True,observed,5000.0,True,observed,0.6767453847112578,0.011458084672954437,0.007645604958084951,0.01204157769836839,0.6222351461418961,2.4996505627856442,0.625677300941544,0.008311729347787365,crps_zbottom_mm,0.723854716141537,0.5930550788067411,1000.0,True,observed,3000.0,True,observed,0.6301299523971869,0.010787829611739056,0.01555947703172546,0.02623614161273514,0.5811939772306063,2.0466720972902404,0.6084354563147578,0.007902798789242096,calibrated_score,1.128363004646469,0.8747568677449961,1000.0,True,observed,5000.0,True,observed,0.9450772383180948,0.019176871697592253,0.010207700277321973,0.011669185637417208,0.8572617303900961,4.534718414261922,0.6464983077953028,0.016913805947182645,2.0,observed,2.0,observed,2.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,MMP,soft MMP,dps_inverse_diffusion,DPS inverse diffusion,mae_zbottom_mm,0.518690757925197,0.39519672837200953,1000.0,True,observed,1600.0,True,observed,0.4270589167362189,0.015685294134992155,0.0057993213076899105,0.014674517503168321,0.3872927938045693,2.536964231837067,0.6872532355607069,0.00982353213170641,crps_zbottom_mm,0.3298074319532827,0.2539457945427707,1000.0,True,observed,3000.0,True,observed,0.2748437514217284,0.012934258752117274,0.007844445808115205,0.03089023711630715,0.2488668786519153,1.6607980468688701,0.6833717242339646,0.003945823782584345,calibrated_score,1.115955988484112,0.7993746356553236,1000.0,True,observed,1000.0,True,observed,0.8788077263030843,0.02165794998887256,0.011423015813164569,0.014289940290387163,0.7833871429422171,7.647403336525369,0.7299067812860974,0.02709037809370837,2.0,observed,2.0,observed,2.0,observed,True,True,True,5000,True,1600,True,True
