figure,dimension,device,device_label,model,model_label,MAE_metric,MAE_at_min_N,MAE_at_max_N,MAE_N90,MAE_N90_reached,MAE_N90_source,MAE_N95,MAE_N95_reached,MAE_N95_source,MAE_AULC,MAE_last_doubling_gain_fraction,MAE_seed_sd_at_max_N,MAE_seed_sd_fraction_at_max_N,MAE_m_inf,MAE_power_a,MAE_power_alpha,MAE_fit_rmse,CRPS_metric,CRPS_at_min_N,CRPS_at_max_N,CRPS_N90,CRPS_N90_reached,CRPS_N90_source,CRPS_N95,CRPS_N95_reached,CRPS_N95_source,CRPS_AULC,CRPS_last_doubling_gain_fraction,CRPS_seed_sd_at_max_N,CRPS_seed_sd_fraction_at_max_N,CRPS_m_inf,CRPS_power_a,CRPS_power_alpha,CRPS_fit_rmse,calibrated_score_metric,calibrated_score_at_min_N,calibrated_score_at_max_N,calibrated_score_N90,calibrated_score_N90_reached,calibrated_score_N90_source,calibrated_score_N95,calibrated_score_N95_reached,calibrated_score_N95_source,calibrated_score_AULC,calibrated_score_last_doubling_gain_fraction,calibrated_score_seed_sd_at_max_N,calibrated_score_seed_sd_fraction_at_max_N,calibrated_score_m_inf,calibrated_score_power_a,calibrated_score_power_alpha,calibrated_score_fit_rmse,DER_MAE,DER_MAE_note,DER_CRPS,DER_CRPS_note,DER_calibrated_score,DER_calibrated_score_note,priority1_plateau_pass,priority1_strict_plateau_pass,priority1_seed_sd_pass,max_requested_N,priority1_current_N_ge_N90,unique_source_cases_available,unique_source_cases_ge_N90,claim_data_efficiency_pass_DER_CRPS_ge2
Figure 3,3D,MMP,soft MMP,eapp_only_diffusion,Eapp-only diffusion,mae_zbottom_mm,0.5421308886786581,0.4753988499994952,1000.0,True,observed,5000.0,True,observed,0.49317965148915305,0.014308786821394415,0.009678794442424933,0.020359313958027474,0.4658908729995053,0.4494242391924924,0.4491276111340118,0.008306278537572258,crps_zbottom_mm,0.3345766889934476,0.2929078775683384,1000.0,True,observed,5000.0,True,observed,0.3045647439167604,0.010757244701551559,0.008847649897332607,0.030206254508359405,0.28704972001697165,0.3290143532585534,0.47031808768981076,0.0043099451314275155,calibrated_score,1.143683810395422,0.9803287641321896,1000.0,True,observed,1000.0,True,observed,1.0207354476257835,0.010234502567266929,0.024957055200406225,0.025457842423402526,0.9607221888495459,1.32899014328199,0.5021488188032047,0.021486273698328028,2.0,observed,2.0,observed,2.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,MMP,soft MMP,SRCNN_3D_proxy,SRCNN 3D proxy,mae_zbottom_mm,0.6653400192878403,0.6349338225937716,1000.0,True,observed,1000.0,True,observed,0.6401874903235811,0.001018666193070597,0.009137686901779206,0.014391557949221844,0.6206426231621265,0.10102820887328284,0.255995306297162,0.006005610041988707,crps_zbottom_mm,0.6304131393150945,0.5930550788067411,1000.0,True,observed,1000.0,True,observed,0.6017085713335814,0.0011875641188488224,0.014571472593292214,0.0245701843117351,0.5811939772306063,0.1881056466187631,0.3505297770669141,0.0050595795293564404,calibrated_score,1.3446328721878658,1.2431756223279375,1000.0,True,observed,1000.0,True,observed,1.2615775423294224,-0.002808197283070168,0.025913804294015904,0.020844845916050386,1.2144084195105025,0.5359842905068789,0.38751104673636116,0.016759618529874946,2.0,observed,2.0,observed,2.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,MMP,soft MMP,direct_scalar_regression,direct scalar regression,mae_zbottom_mm,1.4399902120520707,1.3741823178086812,1000.0,True,observed,1000.0,True,observed,1.3855527898815878,0.0010186661930707867,0.019776624459539628,0.014391557949221848,1.3432519863939554,0.21865456413458542,0.2559953062971625,0.01299789495169996,crps_zbottom_mm,1.0006452008765194,0.941347318852119,1000.0,True,observed,1000.0,True,observed,0.955082876104639,0.0011875641188487857,0.0231290771255542,0.024570184311735067,0.9225203724750766,0.2985772357970486,0.3505297770669149,0.008030993738493544,calibrated_score,1.3446328721878658,1.2431756223279375,1000.0,True,observed,1000.0,True,observed,1.2615775423294224,-0.002808197283070168,0.025913804294015904,0.020844845916050386,1.2144084195105025,0.5359842905068789,0.38751104673636116,0.016759618529874946,2.0,observed,2.0,observed,2.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,MMP,soft MMP,kernel_gp,kernel GP,mae_zbottom_mm,0.7572749492093505,0.47198627741025706,5000.0,True,observed,5000.0,True,observed,0.5941533937476011,0.06791732407187552,0.011887445089521075,0.025185997259806647,0.3150012617808623,1.4211355836841788,0.2547325926281967,0.005041805879719072,crps_zbottom_mm,0.48115310584005755,0.29872701810164626,5000.0,True,observed,5000.0,True,observed,0.37919388109596797,0.06840521455322625,0.006948638992462365,0.023260832035279743,0.15501170897291305,0.8287642309148119,0.20354466296738175,0.0028994254096144844,calibrated_score,0.9688878235729784,0.5682331683521701,5000.0,True,observed,5000.0,True,observed,0.7252326774290474,0.06842720221974946,0.017281075430102853,0.030411944237990478,0.46805222825108994,2.9826851072689182,0.3887562494551855,0.008209701695255055,10.0,observed,10.0,observed,10.0,observed,False,False,True,5000,True,1600,False,True
Figure 3,3D,MMP,soft MMP,op_conditioned_diffusion_ours,operator-conditioned diffusion,mae_zbottom_mm,0.2233728511621658,0.20079221272253664,500.0,True,observed,3000.0,True,observed,0.20652620922626314,0.0024270983456458053,0.010405869469029147,0.05182406891151913,0.1967763684680859,0.1478124356959033,0.43785024841044,0.003159437421864098,crps_zbottom_mm,0.14159736551962784,0.129654944036262,500.0,True,observed,1000.0,True,observed,0.13258414653194323,0.0013412743755548918,0.006046243993040519,0.04663334698096435,0.12702066605151033,0.07486877256419892,0.4205295197218195,0.0017873343162575534,calibrated_score,1.2613309999749156,1.1412947224453862,500.0,True,observed,1000.0,True,observed,1.1722168850258943,0.0025656352726457048,0.04198762560138318,0.03678946793990138,1.1184688279964785,0.7635882861904256,0.42753520116704136,0.01694605394099183,1.0,observed,1.0,observed,1.0,observed,True,True,True,5000,True,1600,True,False
Figure 3,3D,MMP,soft MMP,vanilla_3d_diffusion,vanilla 3D diffusion,mae_zbottom_mm,0.5524988868948836,0.537543769674501,250.0,True,observed,250.0,True,observed,0.5372920770002808,0.010638948639649775,0.015562568050171626,0.028951257419642742,0.026180345862253436,0.5169433185045215,0.0013643663120543488,0.00827272106978446,crps_zbottom_mm,0.33815770791364147,0.3329347597974875,250.0,True,observed,250.0,True,observed,0.33206008628001166,0.008655210775452199,0.007006891855768646,0.021045840512509694,,,,,calibrated_score,2.3139639732813784,2.2608651852132167,250.0,True,observed,250.0,True,observed,2.2623036974641075,0.01066029663861022,0.055222835943741395,0.024425532448779545,0.1103974166344256,2.166708574684076,0.0007465682776721202,0.03110902096909308,0.5,observed,0.5,observed,0.5,observed,True,True,True,5000,True,1600,True,False
Figure 3,3D,US,ultrasound,unet_3d,3D U-Net,mae_zbottom_mm,1.4933229130514485,0.7111611159970909,3000.0,True,observed,3000.0,True,observed,0.9953127652112291,0.04399418752250129,0.0226467497635765,0.03184475255206324,0.5413191082942562,7.691411198374916,0.45287978422693415,0.011616731327119888,crps_zbottom_mm,1.4167622361257965,0.6653692017337054,3000.0,True,observed,3000.0,True,observed,0.9452109217409091,0.05026639516790907,0.020428761149194747,0.030702895619401937,0.47526371552407526,6.58536595394727,0.4212263883549027,0.013532198393430816,calibrated_score,1.2652420865635499,0.5762532724158772,3000.0,True,observed,3000.0,True,observed,0.8228203293024683,0.04954298112519335,0.02459297561931352,0.04267737260078407,0.44763741598423273,7.599739817858762,0.48310028208948225,0.011201325573563216,6.0,observed,6.0,observed,6.0,observed,True,False,True,5000,True,1600,False,True
Figure 3,3D,US,ultrasound,dps_inverse_diffusion,DPS inverse diffusion,mae_zbottom_mm,0.8170535891967298,0.4337382565066603,1000.0,True,observed,3000.0,True,observed,0.5317499984131959,0.02070928374303206,0.015123560183946932,0.03486794156861443,0.4250634913765271,29.993516448751016,0.9479121865459496,0.005349508695511001,crps_zbottom_mm,0.520020508194554,0.2861326043808253,1000.0,True,observed,3000.0,True,observed,0.34891113254202827,0.025267053503603046,0.007144783093448421,0.02497018160132197,0.28040995229320875,16.155941282116856,0.9141226279870922,0.002283209281215322,calibrated_score,0.873830011578138,0.450106300462946,1000.0,True,observed,3000.0,True,observed,0.5615786718381492,0.026140936215006683,0.01426924973580248,0.03170195511843799,0.44110417445368705,33.57472541809418,0.9434116790223153,0.004069538149963886,2.0,observed,2.0,observed,2.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,US,ultrasound,eapp_only_diffusion,Eapp-only diffusion,mae_zbottom_mm,0.8288578028004685,0.4187294289148529,1600.0,True,observed,3000.0,True,observed,0.5576321924271825,0.03188456798602135,0.015312318784253667,0.03656852785326291,0.3612684913167054,5.97201040200888,0.5523469216092876,0.005976151587257673,crps_zbottom_mm,0.5379297002344438,0.2757007350540474,1600.0,True,observed,3000.0,True,observed,0.3671724020637155,0.029725097307928095,0.00962723357058898,0.03491914364574215,0.22924863641678983,3.1826138927487277,0.5054656210035644,0.005096513886188101,calibrated_score,1.4395625234053677,0.7174189012531459,1600.0,True,observed,3000.0,True,observed,0.9582244664024483,0.0343737262336006,0.030160296649863017,0.042040008420715924,0.6245764552086212,11.274627751378524,0.5706277555508439,0.011399935888164537,3.2,observed,3.2,observed,3.2,observed,True,False,True,5000,True,1600,True,True
Figure 3,3D,US,ultrasound,SRCNN_3D_proxy,SRCNN 3D proxy,mae_zbottom_mm,1.2510308363708038,0.7111611159970909,1000.0,True,observed,1600.0,True,observed,0.8579622243339838,0.019010468049825334,0.033234049238631845,0.04673209557026427,0.6913800799134743,32.061489256615836,0.8842136659393992,0.01566232840286887,crps_zbottom_mm,1.1020225329509128,0.6653692017337053,1600.0,True,observed,1600.0,True,observed,0.7930330487541162,0.022580379096728057,0.03079232154517001,0.04627854951046223,0.6416619293357985,16.229446019455274,0.7762202888513319,0.011043455440239635,calibrated_score,1.4082576220942853,0.7899615679815418,1000.0,True,observed,1600.0,True,observed,0.9518439718958048,0.018164636215121693,0.047700738311034475,0.06038361895619338,0.7741623366219109,59.362384860219414,0.9885538047941187,0.020069284616843833,2.0,observed,3.2,observed,2.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,US,ultrasound,direct_scalar_regression,direct scalar regression,mae_zbottom_mm,2.384523969595154,1.3555067373546947,1000.0,True,observed,1600.0,True,observed,1.6353165960852285,0.019010468049825383,0.06334567039619676,0.046732095570264316,1.3178031465929803,61.11071558803552,0.8842136659394001,0.029853139035848467,crps_zbottom_mm,1.5382573362752645,0.9287551073550316,1600.0,True,observed,1600.0,True,observed,1.106954593649036,0.022580379096727936,0.042981439218824496,0.04627854951046223,0.8956633287400287,22.653860203984063,0.7762202888513314,0.015414999095607765,calibrated_score,1.4082576220942853,0.7899615679815418,1000.0,True,observed,1600.0,True,observed,0.9518439718958048,0.018164636215121693,0.047700738311034475,0.06038361895619338,0.7741623366219109,59.362384860219414,0.9885538047941187,0.020069284616843833,2.0,observed,3.2,observed,2.0,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,US,ultrasound,kernel_gp,kernel GP,mae_zbottom_mm,1.0177176870822808,0.548909249477313,1600.0,True,observed,3000.0,True,observed,0.696058060296691,0.026573439927990897,0.010462144986226751,0.019059881020749975,0.5079024996634196,10.39558491335143,0.655858652045512,0.006906644075538734,crps_zbottom_mm,0.6642969655045246,0.3568642792414492,1600.0,True,observed,3000.0,True,observed,0.45295643923362383,0.026463125995818508,0.004759224933830857,0.013336232317639262,0.3302044183804703,6.975973836514046,0.6614647433869231,0.005933584292461571,calibrated_score,0.935900608081586,0.4774519533189969,1600.0,True,observed,3000.0,True,observed,0.6176694344791032,0.02224448688556695,0.012056137776724818,0.025250996865583724,0.44178348386516597,11.845749011058539,0.6905668408455675,0.006940002482241148,3.2,observed,3.2,observed,3.2,observed,True,True,True,5000,True,1600,True,True
Figure 3,3D,US,ultrasound,op_conditioned_diffusion_ours,operator-conditioned diffusion,mae_zbottom_mm,0.2903528612394672,0.22014105174252582,500.0,True,observed,500.0,True,observed,0.23374842134721902,0.010346696446235612,0.004894568604348934,0.02223378404711884,0.19161219426924397,0.27389285170479466,0.29651279036032313,0.013219063412474695,crps_zbottom_mm,0.16822332677985374,0.1400344154073463,500.0,True,observed,500.0,True,observed,0.145694549015752,0.012878290110832934,0.0025666336515271673,0.01832859189693536,0.12645818250711643,0.10263203738216414,0.2641553765034484,0.005491027488008111,calibrated_score,1.474521848114933,1.1362600751412708,500.0,True,observed,500.0,True,observed,1.2030614147470238,0.010346454254052697,0.027287379015379705,0.024015082121042645,1.0067110793555727,1.367128245152398,0.3082519549960143,0.06287555999387937,1.0,observed,1.0,observed,1.0,observed,True,True,True,5000,True,1600,True,False
Figure 3,3D,US,ultrasound,vanilla_3d_diffusion,vanilla 3D diffusion,mae_zbottom_mm,0.5089082336342651,0.4960746479697787,500.0,True,observed,500.0,True,observed,0.4992979492730769,0.0015267219387135574,0.005187280589080108,0.010456653268433347,0.48480209230531246,0.04650420460391502,0.18166230908350553,0.0026941242123142634,crps_zbottom_mm,0.3208421641547913,0.311130185546809,500.0,True,observed,500.0,True,observed,0.31324958453039775,0.0014865244441902836,0.002939012277871189,0.00944624602304626,0.3034715538115961,0.03248161566996402,0.18730028326296708,0.0021604290519672753,calibrated_score,3.432576385896114,3.3258219899966743,250.0,True,observed,250.0,True,observed,3.335797990946775,-0.0021571153146524987,0.052044608895756746,0.015648645373172478,3.2383738470077614,0.31155496836211644,0.17753872313868918,0.02629995924153077,1.0,observed,1.0,observed,0.5,observed,True,True,True,5000,True,1600,True,False
