figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,train_unique_cases,unique_source_cases_available,sampling_mode,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa,calibrated_score
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,100,100,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,3.039675572479548,4.339170476066983,-0.029438943085523306,2.1270006942152766,0.9150173611111111,9.872702627116285,3.085323478212097
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,100,100,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,5.01605552933213,7.443283940804021,0.8251286533292967,3.7510607135571554,0.8586805555555556,18.53290804299618,5.223316157106617
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,100,100,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.310145982446305,11.610542634021982,0.7602118881696001,5.746514382731631,0.8082465277777777,24.821145812042186,7.980877258787083
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,100,300,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,2.1915296822228942,8.00774820631867,0.8973912689143702,3.917766400398509,0.9493923611111111,32.0695808173931,4.284016825668575
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,100,300,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.894915332875864,12.704526401895704,0.7775776488414619,6.50419588477063,0.8207465277777778,32.0695808173931,8.520614785906737
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,100,300,100,207,without_replacement,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,8.170786389282766,13.421385023466645,0.7554364063329122,6.807536833684917,0.8094618055555556,32.0695808173931,8.91055463615967
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,200,200,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,2.2838361251252155,4.1350577732525755,0.5073218165228598,1.745964461993442,0.9340277777777778,9.607326565172418,2.3615499932718373
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,200,200,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,6.638669873732726,9.13096103385267,0.7319492940167884,4.998836881078741,0.8862847222222222,29.22100707174372,6.729721075125936
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,200,200,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,9.159868938355872,13.1199431044552,0.6995971062731278,7.114022306412963,0.9026909722222223,45.80354554241338,9.184517891228184
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,200,200,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,7.829093764191149,4.004646340917467,0.8089544575148868,1.6931098778695286,0.8725694444444444,6.456631652240564,2.3161247125796414
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,200,200,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,4.949752183589408,7.772692506528452,0.8207069517120559,3.8375625923599714,0.8153645833333333,15.777091692374123,5.3686765220442405
Figure 2,2D,US,ultrasound,U-Net,U-Net,200,200,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.510570568397002,11.750714588892926,0.7593584229669337,5.8257829824080485,0.8613715277777778,28.79423525348936,7.800692434971366
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,200,600,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,5.3476274016977605,27.597073213278502,0.5343972250148832,18.760581956659134,1.0,195.18099957339436,24.3116220333753
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,200,600,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,63.094086586600284,69.61737576727977,0.22714212678087434,41.37060648582064,0.8247395833333333,195.18099957339436,67.84257383231056
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,200,600,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,65.92784940725954,73.14737674074601,0.20152518653341775,43.712820206358046,0.7916666666666666,195.18099957339436,73.07003309304599
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,200,200,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,2.1932077489302335,3.931364610879008,0.0025694116185334126,1.6556001805458165,0.8638020833333333,6.0819212097112185,2.2725973002586977
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,200,200,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,4.879447978064461,7.896366246312803,0.8323653580973835,3.7926027131575664,0.7828125,13.646249525795012,5.45125828799389
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,200,200,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.305338468390917,12.017328888526448,0.7301760101726633,5.750253436533425,0.8329861111111111,23.942737475734678,7.794897608807392
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,200,600,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,2.386620268377465,8.071104499128095,0.8947136543400346,4.092265969817094,0.9586805555555555,33.88436018943044,4.706674593190744
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,200,600,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,8.122266741291279,12.642307533676862,0.7690873094720412,6.526573159364552,0.8394965277777777,33.88436018943044,8.613692081454477
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,200,600,118,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,8.360821123669288,13.426807640018696,0.7498575804815238,6.834975868251376,0.82421875,33.88436018943044,8.99441459944735
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,500,500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,1.2858902326543102,3.218594512763813,0.5413977332149102,1.1641368739967182,0.9341145833333333,6.783551373892368,1.329757842153715
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,500,500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,5.761628938181843,8.125886535249462,0.7775733561614556,4.436678649287813,0.8728298611111112,25.59638115756626,5.9181731966584845
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,500,500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,7.63164815654933,11.641039626075989,0.8169979685495729,6.191043936257995,0.8965277777777778,39.65515312137803,7.6581469348706825
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,500,500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,4.389954671277027,2.693394027434278,0.8418598710512196,0.9962838650960958,0.8668402777777777,3.918247942318442,1.3059467575075987
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,500,500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,3.707315328011183,6.0666566399285236,0.8693071360643952,2.9785439000728995,0.8109375,12.32563002568485,4.037498099412179
Figure 2,2D,US,ultrasound,U-Net,U-Net,500,500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,6.708316021076042,11.02538026823465,0.803934002808766,5.3875599078207514,0.8057291666666667,22.064793948446116,7.340714562646231
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,500,1500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,4.677888815461309,24.55323544277309,0.6026781239685826,17.3694675000092,1.0,187.5604448858282,21.26682662287636
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,500,1500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,62.22403497598569,69.95937682881834,0.21792979258445141,41.508894394784754,0.7862847222222222,187.5604448858282,69.29985839773406
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,500,1500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library,65.36680300657552,74.19637949079076,0.1850102430136129,44.27324874836158,0.7584201388888889,187.5604448858282,74.62142589752384
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,500,500,155,207,bootstrap_with_replacement_effective_N,20260606,45,priority1_learning_curve_by_N_from_available_2d_library+mmp_full_endpoint_anchor,1.1966547444066515,2.6024430878747418,0.03299632308518596,0.9345659611243039,0.8782118055555556,3.5386375952191047,1.2227276906606506
