figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,train_unique_cases,unique_source_cases_available,sampling_mode,seed,n_test_cases,evidence_level,mae_zbottom_mm,rmse_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm,auroc_fail_tau_1mm,calibrated_score
Figure 3,3D,PIEZO,sheet piezo,dps_inverse_diffusion,DPS inverse diffusion,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.47976878920377175,0.6337910955575999,0.3540647559744239,0.8571057800224465,2.0207787199095986,0.9959051424269704,1.5181165100744287
Figure 3,3D,US,ultrasound,dps_inverse_diffusion,DPS inverse diffusion,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.8362972291296084,0.8703388005538255,0.5240042971659802,0.8000605649995894,1.7470056412948038,0.9635620779746464,0.8855952688933939
Figure 3,3D,MMP,soft MMP,eapp_only_diffusion,Eapp-only diffusion,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.5681848975851698,0.6360915423978516,0.3546559814715655,0.8698092031425366,1.5757960158969435,0.4990942028985508,1.2282544194215181
Figure 3,3D,PIEZO,sheet piezo,eapp_only_diffusion,Eapp-only diffusion,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.7971282724824297,1.1897211743642615,0.5723642499859121,0.8275924899400509,2.216576674709177,0.9413277046439732,2.45945780271486
Figure 3,3D,US,ultrasound,eapp_only_diffusion,Eapp-only diffusion,100,100,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.8718044906612904,0.9366664113387209,0.5770483422291444,0.8583824354657686,2.9580981371183372,0.7431768527732977,1.5264110068715235
Figure 3,3D,MMP,soft MMP,op_conditioned_diffusion_ours,operator-conditioned diffusion,100,300,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.21670948093758963,0.28323380241117535,0.13809400380408837,0.9250578275984782,0.885572674070732,1.0,1.2192597564865495
Figure 3,3D,PIEZO,sheet piezo,op_conditioned_diffusion_ours,operator-conditioned diffusion,100,300,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6412282536892562,0.7694666972100885,0.35594106141642834,0.8755276340642193,2.0440508991435604,0.8123646967720154,3.4845154611932903
Figure 3,3D,US,ultrasound,op_conditioned_diffusion_ours,operator-conditioned diffusion,100,300,100,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.30062563331027914,0.3586794522053155,0.17483648053063916,0.9062570145903479,0.9161912258496662,0.9945945945945946,1.505199963184256
Figure 3,3D,MMP,soft MMP,SRCNN_3D_proxy,SRCNN 3D proxy,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6542012619294647,0.6974038725419802,0.6129774939733066,0.035933522214009916,0.22770708711050403,0.8800557753234978,1.2875428112997687
Figure 3,3D,PIEZO,sheet piezo,SRCNN_3D_proxy,SRCNN 3D proxy,250,250,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.0960128375189555,1.3481718745351254,1.0682495015156876,0.6519570707070708,4.002061337302143,0.8212105102929353,2.8850495191354595
