seed,model,method_label,scenario_key,scenario_label,ssim_norm_retention,psnr_norm_retention,spearman_pixel_retention,mae_kpa_retention,rmse_kpa_retention,mae_norm_retention,rmse_norm_retention
1,train_mean_prior,Mean prior,ood_unseen_depth_range,Depth OOD,0.995014541716441,0.990357770370419,,0.9314266938209317,0.8666736866942829,1.0014503405928725,0.985485844215177
1,srcnn_bz_single_channel,SRCNN,ood_unseen_depth_range,Depth OOD,0.660533487028843,0.9708123499514384,0.9625226231145291,0.8884404776902045,0.8466596988947243,0.9288496755992193,0.9547499026552012
1,unet_canonical_bxyz,U-Net,ood_unseen_depth_range,Depth OOD,0.8933858396273816,0.9793845759119131,0.9938998581115811,0.8750595930276139,0.8675362035663682,0.8963033862648225,0.9621065023205855
1,vanilla_diffusion,Vanilla diffusion,ood_unseen_depth_range,Depth OOD,0.9482888234806706,0.9991700322462578,0.9735137757340749,0.9710209616050456,0.9128464974599984,0.9994079750290114,0.9993302859543056
1,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_depth_range,Depth OOD,0.470200901463785,0.9735725854835733,1.007544005693465,0.8388238042133818,0.8730122095612539,0.7851533778348655,0.9517888007758586
1,train_mean_prior,Mean prior,ood_unseen_layer_modulus,Mechanical-background OOD,0.9549922181119627,0.9823042926432034,,0.929628717856903,0.9017275174270738,0.9866566167756988,0.973524772179098
1,srcnn_bz_single_channel,SRCNN,ood_unseen_layer_modulus,Mechanical-background OOD,0.7396625983818855,1.0093377837047817,1.2068890541343413,0.9342427564316333,0.9025322822268752,0.9968586931901817,1.014924556586927
1,unet_canonical_bxyz,U-Net,ood_unseen_layer_modulus,Mechanical-background OOD,0.7478700881448404,0.9902308966911592,0.9493005927628146,0.9165335081188478,0.9335822347177035,0.9375648957650746,0.9818607404167407
1,vanilla_diffusion,Vanilla diffusion,ood_unseen_layer_modulus,Mechanical-background OOD,0.8881393222931143,0.9958744597944141,1.3278231366838802,0.9701814442716873,0.9399404936589753,0.9954828964088678,0.9966754600018706
1,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_layer_modulus,Mechanical-background OOD,0.7427858587932287,0.9886204927367017,0.9950378107506181,0.9079217391159191,0.9360645838820741,0.9192122022004497,0.9789481495594611
1,train_mean_prior,Mean prior,ood_unseen_operator_noise,Noise/drift OOD,0.9227962267516792,1.0295100425205237,,1.0858876331048446,1.0709748231509655,1.0387206946068879,1.0457622956541612
1,srcnn_bz_single_channel,SRCNN,ood_unseen_operator_noise,Noise/drift OOD,1.1015577882208059,1.0463369294763085,1.1294418218381252,1.118866714370176,1.0722258371475593,1.0985440842783007,1.0762825065644253
1,unet_canonical_bxyz,U-Net,ood_unseen_operator_noise,Noise/drift OOD,1.1483725922289456,1.0039941596058068,0.9459193465824197,1.0664107757935362,1.1258596990796157,1.0004039437176497,1.0075125174925992
1,vanilla_diffusion,Vanilla diffusion,ood_unseen_operator_noise,Noise/drift OOD,0.8389937627618477,0.949595595287012,1.2111228234905742,0.9467996275247301,0.984235581877382,0.960866113615324,0.9601308199294614
1,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_operator_noise,Noise/drift OOD,0.7532587715141558,1.0054264901906864,0.9192241454271723,1.0499450444637057,1.1115453249626879,0.9420345507978756,1.0101977147075791
1,train_mean_prior,Mean prior,ood_unseen_shape,Morphology OOD,0.786536080792767,1.0009329120684471,,0.95796153422558,0.8787740972992623,1.0312224822347942,1.0014155759170966
1,srcnn_bz_single_channel,SRCNN,ood_unseen_shape,Morphology OOD,0.9506109354645635,0.9868977616054944,0.9229737997867706,0.9412718056889646,0.8583131951218417,1.018585983241648,0.9794280078104978
1,unet_canonical_bxyz,U-Net,ood_unseen_shape,Morphology OOD,0.9153520149895912,0.9229564674469732,0.8221471295287609,0.8465309290771401,0.8048334278530596,0.8736580006115092,0.865569421928087
1,vanilla_diffusion,Vanilla diffusion,ood_unseen_shape,Morphology OOD,0.5174466954113235,0.8950853141265371,1.0313474503665598,0.8443275114073405,0.8535777831173456,0.9132629968873,0.9188010436009946
1,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_shape,Morphology OOD,0.813536302429861,0.9207485980094645,0.8477287075628872,0.8527450799991647,0.8027658616699902,0.885970836652719,0.8622770253700501
2,train_mean_prior,Mean prior,ood_unseen_depth_range,Depth OOD,0.995014541716441,0.990357770370419,,0.9314266938209317,0.8666736866942829,1.0014503405928725,0.985485844215177
2,srcnn_bz_single_channel,SRCNN,ood_unseen_depth_range,Depth OOD,1.7878537951353497,0.9827575227566018,0.9803759789752668,0.9629167450249783,0.8496308425809254,1.1138028415395287,0.9731150473949407
2,unet_canonical_bxyz,U-Net,ood_unseen_depth_range,Depth OOD,1.2221467699861635,1.0078868046076408,0.984471325310718,0.9750725183083907,0.8381238465735481,1.1224321316835222,1.0146721978657662
2,vanilla_diffusion,Vanilla diffusion,ood_unseen_depth_range,Depth OOD,0.9262465783336358,1.046039589933711,1.010225770268562,1.0321759275305915,0.9407597925544233,1.0380787218201764,1.0378161330017146
2,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_depth_range,Depth OOD,1.5021477422025613,1.0147096539350315,0.9985105420716415,0.9994717006219728,0.8381571089436763,1.1913447207001915,1.0273213786377184
2,train_mean_prior,Mean prior,ood_unseen_layer_modulus,Mechanical-background OOD,0.9549922181119627,0.9823042926432034,,0.929628717856903,0.9017275174270738,0.9866566167756988,0.973524772179098
2,srcnn_bz_single_channel,SRCNN,ood_unseen_layer_modulus,Mechanical-background OOD,1.7816993573508493,1.0096331531019835,1.2471985500049438,0.9676444529857051,0.9011657497394122,1.099004724912198,1.0153423892266578
2,unet_canonical_bxyz,U-Net,ood_unseen_layer_modulus,Mechanical-background OOD,1.306491389458995,1.0279332115490991,1.007405286852589,1.021726672234749,0.9343954368688525,1.1365851741297708,1.0529417852460183
2,vanilla_diffusion,Vanilla diffusion,ood_unseen_layer_modulus,Mechanical-background OOD,0.8950743375844331,0.9616657388816359,1.3304305847491513,0.9280417002884517,0.9164906322101705,0.969274099509609,0.969566375080266
2,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_layer_modulus,Mechanical-background OOD,1.65712516175999,1.0261544742496258,1.0071039408870432,1.02565339845522,0.9173706194074325,1.1797889368481047,1.0490940215932079
2,train_mean_prior,Mean prior,ood_unseen_operator_noise,Noise/drift OOD,0.9227962267516792,1.0295100425205237,,1.0858876331048446,1.0709748231509655,1.0387206946068879,1.0457622956541612
2,srcnn_bz_single_channel,SRCNN,ood_unseen_operator_noise,Noise/drift OOD,1.726230763770942,1.0479995404564704,1.1463214636354886,1.146210602555622,1.0757083537110481,1.1662488435514375,1.0788187515051888
2,unet_canonical_bxyz,U-Net,ood_unseen_operator_noise,Noise/drift OOD,1.2753264499284565,1.0241298085640893,0.9260836929452091,1.143898796895918,1.1515783807696225,1.1049386678469697,1.045571578426028
2,vanilla_diffusion,Vanilla diffusion,ood_unseen_operator_noise,Noise/drift OOD,0.7873699821836273,0.9065109958647292,0.8748606789835067,0.8891076943899918,0.9384405088940382,0.928675915206275,0.9273966556618239
2,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_operator_noise,Noise/drift OOD,0.5729804910760898,0.9909694793027842,0.9283141938223576,0.997943108650375,1.167023315134069,0.8243510420558788,0.9835881238905655
2,train_mean_prior,Mean prior,ood_unseen_shape,Morphology OOD,0.786536080792767,1.0009329120684471,,0.95796153422558,0.8787740972992623,1.0312224822347942,1.0014155759170966
2,srcnn_bz_single_channel,SRCNN,ood_unseen_shape,Morphology OOD,1.4772641880599233,0.9860441501533675,0.9533441908302188,0.9552611328770031,0.865856185579736,1.065705444307158,0.978183288334483
2,unet_canonical_bxyz,U-Net,ood_unseen_shape,Morphology OOD,0.9950091439953396,0.9307093456637187,0.8265648158066151,0.8743707160283468,0.7901057105519963,0.9178284171867872,0.8798813652787179
2,vanilla_diffusion,Vanilla diffusion,ood_unseen_shape,Morphology OOD,0.5263918261740945,0.9948385443361062,0.9445777603184372,0.9691001145811928,0.9223876305192439,0.9886308205407915,0.9958473108663829
2,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_shape,Morphology OOD,1.3025549651904484,0.9380509092286685,0.8542480172460626,0.8984624537097384,0.7950717762759762,0.9830791305137349,0.8926871829158829
3,train_mean_prior,Mean prior,ood_unseen_depth_range,Depth OOD,0.995014541716441,0.990357770370419,,0.9314266938209317,0.8666736866942829,1.0014503405928725,0.985485844215177
3,srcnn_bz_single_channel,SRCNN,ood_unseen_depth_range,Depth OOD,0.9205950153641245,0.978301683204272,0.9621672662929119,0.9056996361242139,0.855330603051695,0.95980137441151,0.9661338463742698
3,unet_canonical_bxyz,U-Net,ood_unseen_depth_range,Depth OOD,1.01072214255868,0.9813983908584415,0.9975343366921207,0.9006932686946566,0.8281007831023978,0.9587131530535132,0.9657630153771991
3,vanilla_diffusion,Vanilla diffusion,ood_unseen_depth_range,Depth OOD,0.9736183798341109,0.9623063749482362,1.0668751507638132,0.9243201141527666,0.8907265849146253,0.9705629947163515,0.9702044560599382
3,explicit_residual_target_diffusion,Conditional diffusion,ood_unseen_depth_range,Depth OOD,0.731940297594766,0.9668367662797879,0.9675127365236584,0.8563100730317356,0.8296130021242099,0.8519965597760295,0.9396072681483341
3,train_mean_prior,Mean prior,ood_unseen_layer_modulus,Mechanical-background OOD,0.9549922181119627,0.9823042926432034,,0.929628717856903,0.9017275174270738,0.9866566167756988,0.973524772179098
3,srcnn_bz_single_channel,SRCNN,ood_unseen_layer_modulus,Mechanical-background OOD,0.8808931913430219,1.006031377427524,1.2296585908082072,0.9152233097849892,0.9067602150375418,0.9617793939864369,1.0096227105438471
3,unet_canonical_bxyz,U-Net,ood_unseen_layer_modulus,Mechanical-background OOD,1.0303193358564289,1.0125030684655074,0.9965120084594055,0.9708539230740695,0.982270173623932,1.005972564516957,1.0236918459690783
3,vanilla_diffusion,Vanilla diffusion,ood_unseen_layer_modulus,Mechanical-background OOD,0.9084272766565511,0.900385380541308,1.1995799243405996,0.8525540898720277,0.86742693930409,0.9241961803705866,0.9231727275589527
